LI_DTL1:RG71  0.346481000  +150.00  11.887271     17.882975  18.183036
LI_DTL1:RG72  0.348986000  +150.00  12.066664     18.183036  18.485267
LI_DTL1:RG73  0.351474000  +150.00  12.247480     18.485267  18.789652
LI_DTL1:RG74  0.353945000  +150.00  12.429720     18.789652  19.096178
LI_DTL1:RG75  0.356402000  +150.00  12.613460     19.096178  19.404831
LI_DTL1:RG76  0.358865000  +150.00  12.798629     19.404831  19.715617
LI_DTL2:RG01  0.384765000  +154.00  13.169641     19.715617  20.061442
LI_DTL2:RG02  0.387701000  +154.00  13.360271     20.061442  20.409905
LI_DTL2:RG03  0.390587000  +154.00  13.549988     20.409905  20.760962
LI_DTL2:RG04  0.393453000  +154.00  13.741313     20.760962  21.114595
LI_DTL2:RG05  0.396299000  +154.00  13.934222     21.114595  21.470787
LI_DTL2:RG06  0.399125000  +154.00  14.128652     21.470787  21.829518
LI_DTL2:RG07  0.401930000  +154.00  14.324627     21.829518  22.190770
LI_DTL2:RG08  0.404721000  +154.00  14.522216     22.190770  22.554531
LI_DTL2:RG09  0.407491000  +154.00  14.721337     22.554531  22.920781
LI_DTL2:RG10  0.410237000  +154.00  14.921993     22.920781  23.289500
LI_DTL2:RG11  0.412957000  +154.00  15.124243     23.289500  23.660663
LI_DTL2:RG12  0.415655000  +154.00  15.328028     23.660663  24.034251
LI_DTL2:RG13  0.418332000  +154.00  15.533361     24.034251  24.410246
LI_DTL2:RG14  0.420989000  +154.00  15.740244     24.410246  24.788628
LI_DTL2:RG15  0.423623000  +154.00  15.948642     24.788628  25.169378
LI_DTL2:RG16  0.426239000  +154.00  16.158602     25.169378  25.552479
LI_DTL2:RG17  0.428833000  +154.00  16.370094     25.552479  25.937912
LI_DTL2:RG18  0.431407000  +154.00  16.583053     25.937912  26.325658
LI_DTL2:RG19  0.433960000  +154.00  16.797563     26.325658  26.715698
LI_DTL2:RG20  0.436490000  +154.00  17.013565     26.715698  27.108013
LI_DTL2:RG21  0.439001000  +154.00  17.231100     27.108013  27.502584
LI_DTL2:RG22  0.441490000  +154.00  17.450194     27.502584  27.899393
LI_DTL2:RG23  0.443957000  +154.00  17.670766     27.899393  28.298419
LI_DTL2:RG24  0.446403000  +154.00  17.892817     28.298419  28.699643
LI_DTL2:RG25  0.448829000  +154.00  18.116392     28.699643  29.103048
