 GapName  E0TL[MeV]   phase[deg]   pos[m]    
LI_DTL1:RG47  +0.279946  +150.00      8.019808
LI_DTL1:RG48  +0.282676  +150.00      8.164018
LI_DTL1:RG49  +0.285392  +150.00      8.309754
LI_DTL1:RG50  +0.288094  +150.00      8.456950
LI_DTL1:RG51  +0.290781  +150.00      8.605605
LI_DTL1:RG52  +0.293453  +150.00      8.755756
LI_DTL1:RG53  +0.296110  +150.00      8.907366
LI_DTL1:RG54  +0.298752  +150.00      9.060411
LI_DTL1:RG55  +0.301378  +150.00      9.214928
LI_DTL1:RG56  +0.304675  +150.00      9.364915
LI_DTL1:RG57  +0.307984  +150.00      9.527912
LI_DTL1:RG58  +0.312496  +150.00      9.687401
LI_DTL1:RG59  +0.315190  +150.00      9.847810
LI_DTL1:RG60  +0.317884  +150.00     10.009701
LI_DTL1:RG61  +0.320564  +150.00     10.173105
LI_DTL1:RG62  +0.323228  +150.00     10.337958
LI_DTL1:RG63  +0.325875  +150.00     10.504253
LI_DTL1:RG64  +0.328506  +150.00     10.672039
LI_DTL1:RG65  +0.331122  +150.00     10.841297
LI_DTL1:RG66  +0.333722  +150.00     11.012008
LI_DTL1:RG67  +0.336305  +150.00     11.184150
LI_DTL1:RG68  +0.338872  +150.00     11.357727
LI_DTL1:RG69  +0.341425  +150.00     11.532756
LI_DTL1:RG70  +0.343962  +150.00     11.709296
LI_DTL1:RG71  +0.346481  +150.00     11.887271
LI_DTL1:RG72  +0.348986  +150.00     12.066664
LI_DTL1:RG73  +0.351474  +150.00     12.247480
LI_DTL1:RG74  +0.353945  +150.00     12.429720
LI_DTL1:RG75  +0.356402  +150.00     12.613460
LI_DTL1:RG76  +0.358865  +150.00     12.798629
LI_DTL2:RG01  +0.384765  +154.00     13.169641
LI_DTL2:RG02  +0.387701  +154.00     13.360271
LI_DTL2:RG03  +0.390587  +154.00     13.549988
LI_DTL2:RG04  +0.393453  +154.00     13.741313
LI_DTL2:RG05  +0.396299  +154.00     13.934222
LI_DTL2:RG06  +0.399125  +154.00     14.128652
LI_DTL2:RG07  +0.401930  +154.00     14.324627
LI_DTL2:RG08  +0.404721  +154.00     14.522216
LI_DTL2:RG09  +0.407491  +154.00     14.721337
LI_DTL2:RG10  +0.410237  +154.00     14.921993
LI_DTL2:RG11  +0.412957  +154.00     15.124243
LI_DTL2:RG12  +0.415655  +154.00     15.328028
LI_DTL2:RG13  +0.418332  +154.00     15.533361
LI_DTL2:RG14  +0.420989  +154.00     15.740244
LI_DTL2:RG15  +0.423623  +154.00     15.948642
LI_DTL2:RG16  +0.426239  +154.00     16.158602
LI_DTL2:RG17  +0.428833  +154.00     16.370094
LI_DTL2:RG18  +0.431407  +154.00     16.583053
LI_DTL2:RG19  +0.433960  +154.00     16.797563
LI_DTL2:RG20  +0.436490  +154.00     17.013565
LI_DTL2:RG21  +0.439001  +154.00     17.231100
LI_DTL2:RG22  +0.441490  +154.00     17.450194
LI_DTL2:RG23  +0.443957  +154.00     17.670766
LI_DTL2:RG24  +0.446403  +154.00     17.892817
LI_DTL2:RG25  +0.448829  +154.00     18.116392
LI_DTL2:RG26  +0.451241  +154.00     18.341455
LI_DTL2:RG27  +0.453634  +154.00     18.567994
LI_DTL2:RG28  +0.456007  +154.00     18.796039
LI_DTL2:RG29  +0.458355  +154.00     19.025578
LI_DTL2:RG30  +0.460681  +154.00     19.256585
LI_DTL2:RG31  +0.462991  +154.00     19.489058
LI_DTL2:RG32  +0.465280  +154.00     19.723035
LI_DTL2:RG33  +0.467548  +154.00     19.958456
LI_DTL2:RG34  +0.469796  +154.00     20.195355
LI_DTL2:RG35  +0.472022  +154.00     20.433725
LI_DTL2:RG36  +0.474231  +154.00     20.673548
LI_DTL2:RG37  +0.476419  +154.00     20.914796
LI_DTL2:RG38  +0.478588  +154.00     21.157484
LI_DTL2:RG39  +0.480737  +154.00     21.401667
LI_DTL2:RG40  +0.482867  +154.00     21.647263
LI_DTL2:RG41  +0.484979  +154.00     21.894297
LI_DTL2:RG42  +0.487069  +154.00     22.142793
LI_DTL2:RG43  +0.489197  +154.00     22.392707
LI_DTL3:RG01  +0.522391  +154.00     22.895806
LI_DTL3:RG02  +0.524801  +154.00     23.148639
LI_DTL3:RG03  +0.527122  +154.00     23.403023
LI_DTL3:RG04  +0.529424  +154.00     23.658863
LI_DTL3:RG05  +0.531707  +154.00     23.916197
LI_DTL3:RG06  +0.533973  +154.00     24.175033
LI_DTL3:RG07  +0.536222  +154.00     24.435336
LI_DTL3:RG08  +0.538442  +154.00     24.697136
LI_DTL3:RG09  +0.540631  +154.00     24.960424
LI_DTL3:RG10  +0.542796  +154.00     25.225173
LI_DTL3:RG11  +0.544939  +154.00     25.491428
LI_DTL3:RG12  +0.547060  +154.00     25.759137
LI_DTL3:RG13  +0.549164  +154.00     26.028293
LI_DTL3:RG14  +0.551244  +154.00     26.298929
LI_DTL3:RG15  +0.553300  +154.00     26.570987
LI_DTL3:RG16  +0.555335  +154.00     26.844507
LI_DTL3:RG17  +0.557351  +154.00     27.119474
LI_DTL3:RG18  +0.559345  +154.00     27.395888
LI_DTL3:RG19  +0.561317  +154.00     27.673747
LI_DTL3:RG20  +0.563268  +154.00     27.953032
LI_DTL3:RG21  +0.565197  +154.00     28.233706
LI_DTL3:RG22  +0.567107  +154.00     28.515800
LI_DTL3:RG23  +0.568995  +154.00     28.799369
LI_DTL3:RG24  +0.570864  +154.00     29.084333
LI_DTL3:RG25  +0.572715  +154.00     29.370701
LI_DTL3:RG26  +0.574544  +154.00     29.658471
LI_DTL3:RG27  +0.576432  +154.00     29.947640
LI_S01A:RG01  +0.604147  +153.00     30.528810
LI_S01A:RG02  +0.606438  +153.00     30.820842
LI_S01A:RG03  +0.608626  +153.00     31.114300
LI_S01A:RG04  +0.610790  +153.00     31.409249
LI_S01A:RG05  +0.613014  +153.00     31.705048
LI_S01B:RG01  +0.614762  +153.00     32.597909
LI_S01B:RG02  +0.616938  +153.00     32.897097
LI_S01B:RG03  +0.619006  +153.00     33.197721
LI_S01B:RG04  +0.621053  +153.00     33.499691
LI_S01B:RG05  +0.623164  +153.00     33.803071
LI_S02A:RG01  +0.674627  +153.00     34.718058
LI_S02A:RG02  +0.677036  +153.00     35.024426
LI_S02A:RG03  +0.679314  +153.00     35.332227
LI_S02A:RG04  +0.681563  +153.00     35.641501
LI_S02A:RG05  +0.683892  +153.00     35.952300
LI_S02B:RG01  +0.685874  +153.00     36.889931
LI_S02B:RG02  +0.688150  +153.00     37.203776
LI_S02B:RG03  +0.690290  +153.00     37.519005
LI_S02B:RG04  +0.692401  +153.00     37.835795
LI_S02B:RG05  +0.694599  +153.00     38.153983
LI_S03A:RG01  +0.752577  +153.00     39.113224
LI_S03A:RG02  +0.755084  +153.00     39.434493
LI_S03A:RG03  +0.757422  +153.00     39.757318
LI_S03A:RG04  +0.759726  +153.00     40.081688
LI_S03A:RG05  +0.762134  +153.00     40.407634
LI_S03B:RG01  +0.764086  +153.00     41.390331
LI_S03B:RG02  +0.766427  +153.00     41.719391
LI_S03B:RG03  +0.768602  +153.00     42.049927
LI_S03B:RG04  +0.770747  +153.00     42.381967
LI_S03B:RG05  +0.773002  +153.00     42.715626
LI_S04A:RG01  +0.837956  +153.00     43.721216
LI_S04A:RG02  +0.840520  +153.00     44.058008
LI_S04A:RG03  +0.842873  +153.00     44.396407
LI_S04A:RG04  +0.845189  +153.00     44.736461
LI_S04A:RG05  +0.847641  +153.00     45.078141
LI_S04B:RG01  +0.849524  +153.00     46.108146
