LI_DTL2:RG21  +0.439001  +149.87     17.231100
LI_DTL2:RG22  +0.441490  +150.38     17.450194
LI_DTL2:RG23  +0.443957  +150.92     17.670766
LI_DTL2:RG24  +0.446403  +151.48     17.892817
LI_DTL2:RG25  +0.448829  +152.12     18.116392
LI_DTL2:RG26  +0.451241  +152.77     18.341455
LI_DTL2:RG27  +0.453634  +153.42     18.567994
LI_DTL2:RG28  +0.456007  +154.09     18.796039
LI_DTL2:RG29  +0.458355  +154.77     19.025578
LI_DTL2:RG30  +0.460681  +155.40     19.256585
LI_DTL2:RG31  +0.462991  +155.98     19.489058
LI_DTL2:RG32  +0.465280  +156.56     19.723035
LI_DTL2:RG33  +0.467548  +157.04     19.958456
LI_DTL2:RG34  +0.469796  +157.48     20.195355
LI_DTL2:RG35  +0.472022  +157.87     20.433725
LI_DTL2:RG36  +0.474231  +158.18     20.673548
LI_DTL2:RG37  +0.476419  +158.37     20.914796
LI_DTL2:RG38  +0.478588  +158.47     21.157484
LI_DTL2:RG39  +0.480737  +158.56     21.401667
LI_DTL2:RG40  +0.482867  +158.53     21.647263
LI_DTL2:RG41  +0.484979  +158.43     21.894297
LI_DTL2:RG42  +0.487069  +158.30     22.142793
LI_DTL2:RG43  +0.489197  +158.09     22.392707
LI_DTL3:RG01  +0.522391  +154.00     22.895806
LI_DTL3:RG02  +0.524801  +153.70     23.148639
LI_DTL3:RG03  +0.527122  +153.47     23.403023
LI_DTL3:RG04  +0.529424  +153.18     23.658863
LI_DTL3:RG05  +0.531707  +152.91     23.916197
LI_DTL3:RG06  +0.533973  +152.67     24.175033
LI_DTL3:RG07  +0.536222  +152.42     24.435336
LI_DTL3:RG08  +0.538442  +152.22     24.697136
LI_DTL3:RG09  +0.540631  +152.06     24.960424
LI_DTL3:RG10  +0.542796  +151.92     25.225173
LI_DTL3:RG11  +0.544939  +151.86     25.491428
LI_DTL3:RG12  +0.547060  +151.82     25.759137
LI_DTL3:RG13  +0.549164  +151.80     26.028293
LI_DTL3:RG14  +0.551244  +151.84     26.298929
LI_DTL3:RG15  +0.553300  +151.88     26.570987
LI_DTL3:RG16  +0.555335  +151.97     26.844507
LI_DTL3:RG17  +0.557351  +152.09     27.119474
LI_DTL3:RG18  +0.559345  +152.25     27.395888
LI_DTL3:RG19  +0.561317  +152.45     27.673747
LI_DTL3:RG20  +0.563268  +152.67     27.953032
LI_DTL3:RG21  +0.565197  +152.85     28.233706
LI_DTL3:RG22  +0.567107  +153.05     28.515800
LI_DTL3:RG23  +0.568995  +153.33     28.799369
LI_DTL3:RG24  +0.570864  +153.60     29.084333
LI_DTL3:RG25  +0.572715  +153.86     29.370701
LI_DTL3:RG26  +0.574544  +154.12     29.658471
LI_DTL3:RG27  +0.576432  +154.38     29.947640
LI_S01A:RG01  +0.604147  +153.00     30.528810
LI_S01A:RG02  +0.606438  +153.28     30.820842
LI_S01A:RG03  +0.608626  +153.53     31.114300
LI_S01A:RG04  +0.610790  +153.85     31.409249
LI_S01A:RG05  +0.613014  +153.45     31.705048
LI_S01B:RG01  +0.614762  +153.67     32.597909
LI_S01B:RG02  +0.616938  +153.91     32.897097
LI_S01B:RG03  +0.619006  +154.16     33.197721
LI_S01B:RG04  +0.621053  +154.32     33.499691
LI_S01B:RG05  +0.623164  +154.46     33.803071
LI_S02A:RG01  +0.674627  +153.00     34.718058
LI_S02A:RG02  +0.677036  +153.21     35.024426
LI_S02A:RG03  +0.679314  +153.33     35.332227
LI_S02A:RG04  +0.681563  +153.41     35.641501
LI_S02A:RG05  +0.683892  +153.52     35.952300
LI_S02B:RG01  +0.685874  +154.72     36.889931
LI_S02B:RG02  +0.688150  +154.88     37.203776
LI_S02B:RG03  +0.690290  +154.91     37.519005
LI_S02B:RG04  +0.692401  +155.01     37.835795
LI_S02B:RG05  +0.694599  +155.00     38.153983
LI_S03A:RG01  +0.752577  +153.00     39.113224
LI_S03A:RG02  +0.755084  +153.01     39.434493
LI_S03A:RG03  +0.757422  +153.01     39.757318
LI_S03A:RG04  +0.759726  +152.99     40.081688
LI_S03A:RG05  +0.762134  +152.98     40.407634
LI_S03B:RG01  +0.764086  +153.20     41.390331
LI_S03B:RG02  +0.766427  +153.22     41.719391
LI_S03B:RG03  +0.768602  +153.16     42.049927
LI_S03B:RG04  +0.770747  +153.07     42.381967
LI_S03B:RG05  +0.773002  +153.08     42.715626
LI_S04A:RG01  +0.837956  +153.00     43.721216
LI_S04A:RG02  +0.840520  +152.98     44.058008
LI_S04A:RG03  +0.842873  +152.93     44.396407
LI_S04A:RG04  +0.845189  +152.91     44.736461
LI_S04A:RG05  +0.847641  +152.91     45.078141
LI_S04B:RG01  +0.849524  +153.03     46.108146
LI_S04B:RG02  +0.851904  +153.01     46.453024
LI_S04B:RG03  +0.854067  +152.93     46.799450
LI_S04B:RG04  +0.856198  +152.91     47.147512
LI_S04B:RG05  +0.858474  +152.89     47.497166
LI_S05A:RG01  +0.927840  +153.00     48.551614
LI_S05A:RG02  +0.930406  +152.99     48.904540
LI_S05A:RG03  +0.932710  +152.97     49.259145
LI_S05A:RG04  +0.934960  +152.97     49.615445
LI_S05A:RG05  +0.937385  +152.98     49.973417
LI_S05B:RG01  +0.938684  +153.72     51.053042
LI_S05B:RG02  +0.941041  +153.72     51.414337
LI_S05B:RG03  +0.943127  +153.63     51.777197
LI_S05B:RG04  +0.945168  +153.57     52.141721
LI_S05B:RG05  +0.947393  +153.47     52.507850
LI_S06A:RG01  +1.031979  +153.00     53.611424
LI_S06A:RG02  +1.034525  +152.92     53.980952
LI_S06A:RG03  +1.036745  +152.84     54.352230
LI_S06A:RG04  +1.038910  +152.78     54.725247
LI_S06A:RG05  +1.041309  +152.72     55.099997
LI_S06B:RG01  +1.042832  +152.70     56.229560
LI_S06B:RG02  +1.045138  +152.60     56.607680
LI_S06B:RG03  +1.047117  +152.54     56.987541
LI_S06B:RG04  +1.049046  +152.53     57.369138
LI_S06B:RG05  +1.051216  +152.48     57.752364
LI_S07A:RG01  +1.052313  +153.00     58.907460
LI_S07A:RG02  +1.054392  +152.90     59.293965
LI_S07A:RG03  +1.056139  +152.86     59.682181
LI_S07A:RG04  +1.057853  +152.80     60.072032
LI_S07A:RG05  +1.059812  +152.77     60.463543
LI_S07B:RG01  +1.061053  +153.18     61.643498
LI_S07B:RG02  +1.062924  +153.13     62.038240
LI_S07B:RG03  +1.064455  +153.09     62.434596
LI_S07B:RG04  +1.065949  +153.04     62.832554
LI_S07B:RG05  +1.067703  +152.99     63.232104
LI_S08A:RG01  +1.068530  +153.00     64.435812
LI_S08A:RG02  +1.070207  +152.96     64.838538
LI_S08A:RG03  +1.071549  +152.88     65.242792
LI_S08A:RG04  +1.072853  +152.83     65.648631
LI_S08A:RG05  +1.074425  +152.81     66.056059
LI_S08B:RG01  +1.074970  +152.90     67.283139
LI_S08B:RG02  +1.076467  +152.91     67.693674
LI_S08B:RG03  +1.077622  +152.88     68.105694
LI_S08B:RG04  +1.078744  +152.81     68.519182
LI_S08B:RG05  +1.080132  +152.75     68.934193
LI_S09A:RG01  +1.080592  +153.00     70.184077
LI_S09A:RG02  +1.081926  +152.95     70.602098
LI_S09A:RG03  +1.082915  +152.93     71.021636
LI_S09A:RG04  +1.083868  +152.86     71.442597
LI_S09A:RG05  +1.085103  +152.79     71.865022
LI_S09B:RG01  +1.085387  +152.93     73.137107
LI_S09B:RG02  +1.086559  +152.90     73.562491
LI_S09B:RG03  +1.087390  +152.86     73.989320
LI_S09B:RG04  +1.088189  +152.85     74.417616
LI_S09B:RG05  +1.089265  +152.82     74.847322
LI_S10A:RG01  +1.089597  +153.00     76.140966
LI_S10A:RG02  +1.090626  +153.00     76.573547
LI_S10A:RG03  +1.091317  +152.98     77.007513
LI_S10A:RG04  +1.091978  +152.92     77.442848
LI_S10A:RG05  +1.092922  +152.85     77.879549
LI_S10B:RG01  +1.092700  +152.99     79.194248
LI_S10B:RG02  +1.093590  +152.98     79.633789
LI_S10B:RG03  +1.094147  +152.93     80.074657
LI_S10B:RG04  +1.094675  +152.87     80.516874
LI_S10B:RG05  +1.095488  +152.83     80.960479
LI_S11A:RG01  +1.095226  +153.00     82.295776
LI_S11A:RG02  +1.095990  +152.95     82.742056
LI_S11A:RG03  +1.096420  +152.93     83.189708
LI_S11A:RG04  +1.096823  +152.93     83.638713
LI_S11A:RG05  +1.097521  +152.89     84.088989
LI_S11B:RG01  +1.097503  +153.04     85.444112
LI_S11B:RG02  +1.098161  +153.03     85.897049
LI_S11B:RG03  +1.098485  +153.00     86.351271
LI_S11B:RG04  +1.098779  +152.94     86.806735
LI_S11B:RG05  +1.099359  +152.89     87.263516
LI_S12A:RG01  +1.098981  +153.00     88.637917
LI_S12A:RG02  +1.099523  +152.97     89.097273
LI_S12A:RG03  +1.099730  +152.94     89.557890
LI_S12A:RG04  +1.099918  +152.90     90.019761
LI_S12A:RG05  +1.100397  +152.87     90.482890
LI_S12B:RG01  +1.099822  +152.77     91.876019
LI_S12B:RG02  +1.100270  +152.73     92.341627
LI_S12B:RG03  +1.100385  +152.69     92.808472
LI_S12B:RG04  +1.100479  +152.67     93.276557
LI_S12B:RG05  +1.100870  +152.66     93.745878
LI_S13A:RG01  +1.100312  +153.00     95.158277
LI_S13A:RG02  +1.100667  +152.98     95.630003
LI_S13A:RG03  +1.100691  +152.93     96.102894
LI_S13A:RG04  +1.100698  +152.94     96.577069
LI_S13A:RG05  +1.100994  +152.93     97.052394
LI_S13B:RG01  +1.100364  +153.48     98.482709
LI_S13B:RG02  +1.100638  +153.46     98.960393
LI_S13B:RG03  +1.100582  +153.44     99.439262
LI_S13B:RG04  +1.100508  +153.45     99.919326
LI_S13B:RG05  +1.100723  +153.45    100.400550
LI_S14A:RG01  +1.099992  +153.00    101.847962
LI_S14A:RG02  +1.100185  +152.99    102.331477
LI_S14A:RG03  +1.100059  +152.95    102.816098
LI_S14A:RG04  +1.099921  +152.92    103.301871
LI_S14A:RG05  +1.100073  +152.90    103.788788
LI_S14B:RG01  +1.099296  +153.02    105.253132
LI_S14B:RG02  +1.099418  +153.00    105.742291
LI_S14B:RG03  +1.099218  +152.97    106.232552
LI_S14B:RG04  +1.099001  +152.96    106.723933
LI_S14B:RG05  +1.099077  +152.96    107.216443
LI_S15A:RG01  +1.098343  +153.00    108.697569
LI_S15A:RG02  +1.098395  +152.98    109.192228
LI_S15A:RG03  +1.098126  +152.95    109.687966
LI_S15A:RG04  +1.097852  +152.90    110.184758
LI_S15A:RG05  +1.097869  +152.88    110.682663
LI_S15B:RG01  +1.096973  +153.12    112.180002
LI_S15B:RG02  +1.096967  +153.10    112.680043
LI_S15B:RG03  +1.096650  +153.08    113.181132
LI_S15B:RG04  +1.096321  +153.05    113.683275
LI_S15B:RG05  +1.096275  +153.02    114.186459
LI_S16A:RG01  +1.095210  +153.00    115.699247
LI_S16A:RG02  +1.095148  +152.96    116.204495
LI_S16A:RG03  +1.094780  +152.92    116.710777
LI_S16A:RG04  +1.094399  +152.87    117.218085
LI_S16A:RG05  +1.094300  +152.83    117.726415
LI_S16B:RG01  +1.093304  +152.86    119.254667
LI_S16B:RG02  +1.093195  +152.82    119.765025
LI_S16B:RG03  +1.092781  +152.79    120.276391
LI_S16B:RG04  +1.092353  +152.75    120.788758
LI_S16B:RG05  +1.092208  +152.71    121.302122
LI_MEBT2:BNCH01:Rg01  +0.197978  +90.00    126.421226
LI_MEBT2:BNCH01:Rg02  +0.197978  +90.02    126.506969
LI_MEBT2:BNCH01:Rg03  +0.197978  +90.04    126.592712
LI_MEBT2:BNCH01:Rg04  +0.197978  +90.06    126.678455
LI_MEBT2:BNCH01:Rg05  +0.197978  +90.08    126.764198
LI_MEBT2:BNCH01:Rg06  +0.197978  +90.19    127.278657
LI_MEBT2:BNCH01:Rg07  +0.197978  +90.21    127.364400
LI_MEBT2:BNCH01:Rg08  +0.197978  +90.22    127.450143
LI_MEBT2:BNCH01:Rg09  +0.197978  +90.24    127.535886
LI_MEBT2:BNCH01:Rg10  +0.197978  +90.26    127.621629
LI_MEBT2:BNCH02:Rg01  +0.261541  +90.00    132.255738
LI_MEBT2:BNCH02:Rg02  +0.261541  +90.02    132.341482
LI_MEBT2:BNCH02:Rg03  +0.261541  +90.03    132.427225
