 quad    field[T/m]    length[m]     pos[m]  
LI_DTL2:DTQ22  -17.671157    0.100479     17.340281
LI_DTL2:DTQ23  +17.671157    0.100479     17.560107
LI_DTL2:DTQ24  -17.470062    0.100479     17.781425
LI_DTL2:DTQ25  +17.470062    0.100479     18.004209
LI_DTL2:DTQ26  -17.278872    0.100479     18.228575
LI_DTL2:DTQ27  +17.278872    0.100479     18.454334
LI_DTL2:DTQ28  -17.138201    0.100479     18.681654
LI_DTL2:DTQ29  +17.046046    0.100479     18.910424
LI_DTL2:DTQ30  -16.953891    0.100479     19.140732
LI_DTL2:DTQ31  +16.863573    0.100479     19.372439
LI_DTL2:DTQ32  -16.729454    0.100479     19.605678
LI_DTL2:DTQ33  +16.729454    0.100479     19.840392
LI_DTL2:DTQ34  -16.555230    0.100479     20.076520
LI_DTL2:DTQ35  +16.555230    0.100479     20.314190
LI_DTL2:DTQ36  -16.426761    0.100479     20.553259
LI_DTL2:DTQ37  +16.343086    0.100479     20.793837
LI_DTL2:DTQ38  -16.219886    0.100479     21.035755
LI_DTL2:DTQ39  +16.219886    0.100479     21.279214
LI_DTL2:DTQ40  -16.101314    0.100479     21.524121
LI_DTL2:DTQ41  +17.772200    0.100479     21.770406
LI_DTL2:DTQ42  -17.413100    0.100479     22.018189
LI_DTL2:DTQ43  +14.079500    0.100479     22.267398
LI_DTL2:DTQ44  -14.891600    0.100479     22.518017
LI_DTL3:DTQ01  +12.902496    0.135797     22.769797
LI_DTL3:DTQ02  -12.830638    0.135797     23.021815
LI_DTL3:DTQ03  +12.758781    0.135797     23.275463
LI_DTL3:DTQ04  -12.686923    0.135797     23.530584
LI_DTL3:DTQ05  +12.618239    0.135797     23.787143
LI_DTL3:DTQ06  -12.516286    0.135797     24.045252
LI_DTL3:DTQ07  +12.516286    0.135797     24.304814
LI_DTL3:DTQ08  -12.384027    0.135797     24.565857
LI_DTL3:DTQ09  +12.384027    0.135797     24.828414
LI_DTL3:DTQ10  -12.254410    0.135797     25.092434
LI_DTL3:DTQ11  +12.254410    0.135797     25.357913
LI_DTL3:DTQ12  -12.127046    0.135797     25.624943
LI_DTL3:DTQ13  +12.127046    0.135797     25.893331
LI_DTL3:DTQ14  -12.005009    0.135797     26.163255
LI_DTL3:DTQ15  +12.005009    0.135797     26.434603
LI_DTL3:DTQ16  -11.884275    0.135797     26.707371
LI_DTL3:DTQ17  +11.884275    0.135797     26.981642
LI_DTL3:DTQ18  -11.766750    0.135797     27.257306
LI_DTL3:DTQ19  +11.766750    0.135797     27.534470
LI_DTL3:DTQ20  -11.653501    0.135797     27.813025
LI_DTL3:DTQ21  +11.653501    0.135797     28.093039
LI_DTL3:DTQ22   -5.784486    0.135797     28.374374
LI_DTL3:DTQ23   +4.896934    0.135797     28.657226
LI_DTL3:DTQ24   -8.436423    0.135797     28.941513
LI_DTL3:DTQ25   -0.000007    0.135797     29.227154
LI_DTL3:DTQ26   +0.000007    0.135797     29.514249
LI_DTL3:DTQ27  +14.777889    0.135797     29.802692
LI_DTL3:DTQ28  -11.084280    0.135797     30.092588
LI_S01A:QM01  -13.423900    0.113248     32.026111
