 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_DTL2:RG34     32.303301   32.737285     0.25652907
LI_DTL2:RG35     32.737285   33.174538     0.25815521
LI_DTL2:RG36     33.174538   33.614792     0.25978057
LI_DTL2:RG37     33.614792   34.057658     0.26140393
LI_DTL2:RG38     34.057658   34.502841     0.26302404
LI_DTL2:RG39     34.502841   34.950310     0.26464034
LI_DTL2:RG40     34.950310   35.399684     0.26625213
LI_DTL2:RG41     35.399684   35.850714     0.26785834
LI_DTL2:RG42     35.850714   36.303281     0.26945842
LI_DTL2:RG43     36.303281   36.757142     0.27105180
LI_DTL3:RG01     36.757142   37.226664     0.27266316
LI_DTL3:RG02     37.226664   37.697134     0.27429144
LI_DTL3:RG03     37.697134   38.168736     0.27591136
LI_DTL3:RG04     38.168736   38.641214     0.27752291
LI_DTL3:RG05     38.641214   39.114576     0.27912582
LI_DTL3:RG06     39.114576   39.588928     0.28072042
LI_DTL3:RG07     39.588928   40.064217     0.28230692
LI_DTL3:RG08     40.064217   40.540602     0.28388563
LI_DTL3:RG09     40.540602   41.018233     0.28545717
LI_DTL3:RG10     41.018233   41.497144     0.28702195
LI_DTL3:RG11     41.497144   41.977683     0.28858069
LI_DTL3:RG12     41.977683   42.459917     0.29013413
LI_DTL3:RG13     42.459917   42.943901     0.29168253
LI_DTL3:RG14     42.943901   43.429914     0.29322648
LI_DTL3:RG15     43.429914   43.917906     0.29476640
LI_DTL3:RG16     43.917906   44.408094     0.29630258
LI_DTL3:RG17     44.408094   44.900622     0.29783561
LI_DTL3:RG18     44.900622   45.395646     0.29936599
LI_DTL3:RG19     45.395646   45.893321     0.30089420
LI_DTL3:RG20     45.893321   46.393700     0.30242055
LI_DTL3:RG21     46.393700   46.896627     0.30394490
LI_DTL3:RG22     46.896627   47.402143     0.30546706
LI_DTL3:RG23     47.402143   47.910607     0.30698763
LI_DTL3:RG24     47.910607   48.421926     0.30850700
LI_DTL3:RG25     48.421926   48.936070     0.31002498
LI_DTL3:RG26     48.936070   49.452998     0.31154143
LI_DTL3:RG27     49.452998   49.972737     0.31305634
LI_S01A:RG01     49.972737   50.511036     0.31459251
LI_S01A:RG02     50.511036   51.052701     0.31615031
LI_S01A:RG03     51.052701   51.597542     0.31770728
LI_S01A:RG04     51.597542   52.145822     0.31926350
LI_S01A:RG05     52.145822   52.694196     0.32081461
LI_S01B:RG01     52.694196   53.245191     0.32235950
LI_S01B:RG02     53.245191   53.799283     0.32390243
LI_S01B:RG03     53.799283   54.356420     0.32544399
LI_S01B:RG04     54.356420   54.916128     0.32698342
LI_S01B:RG05     54.916128   55.478389     0.32852007
LI_S02A:RG01     55.478389   56.079486     0.33010312
LI_S02A:RG02     56.079486   56.683831     0.33173257
LI_S02A:RG03     56.683831   57.290844     0.33335903
LI_S02A:RG04     57.290844   57.900310     0.33498147
LI_S02A:RG05     57.900310   58.512459     0.33659991
LI_S02B:RG01     58.512459   59.132634     0.33822171
LI_S02B:RG02     59.132634   59.755699     0.33984702
LI_S02B:RG03     59.755699   60.380840     0.34146801
LI_S02B:RG04     60.380840   61.008400     0.34308410
LI_S02B:RG05     61.008400   61.637904     0.34469518
LI_S03A:RG01     61.637904   62.308455     0.34635031
LI_S03A:RG02     62.308455   62.981312     0.34804900
LI_S03A:RG03     62.981312   63.656233     0.34974152
LI_S03A:RG04     63.656233   64.333068     0.35142746
LI_S03A:RG05     64.333068   65.012032     0.35310695
LI_S03B:RG01     65.012032   65.694067     0.35478150
LI_S03B:RG02     65.694067   66.378279     0.35645119
LI_S03B:RG03     66.378279   67.064085     0.35811429
LI_S03B:RG04     67.064085   67.751245     0.35976987
LI_S03B:RG05     67.751245   68.440460     0.36141858
LI_S04A:RG01     68.440460   69.187084     0.36312697
LI_S04A:RG02     69.187084   69.935838     0.36489384
LI_S04A:RG03     69.935838   70.686356     0.36665286
LI_S04A:RG04     70.686356   71.438832     0.36840392
LI_S04A:RG05     71.438832   72.193451     0.37014755
LI_S04B:RG01     72.193451   72.950579     0.37188446
LI_S04B:RG02     72.950579   73.709669     0.37361451
LI_S04B:RG03     73.709669   74.470184     0.37533657
LI_S04B:RG04     74.470184   75.232423     0.37705045
LI_S04B:RG05     75.232423   75.996585     0.37875681
LI_S05A:RG01     75.996585   76.823297     0.38052303
LI_S05A:RG02     76.823297   77.652214     0.38234811
LI_S05A:RG03     77.652214   78.483053     0.38416461
LI_S05A:RG04     78.483053   79.315909     0.38597241
LI_S05A:RG05     79.315909   80.150959     0.38777191
LI_S05B:RG01     80.150959   80.992599     0.38956810
LI_S05B:RG02     80.992599   81.836378     0.39136090
LI_S05B:RG03     81.836378   82.681400     0.39314468
LI_S05B:RG04     82.681400   83.527751     0.39491871
LI_S05B:RG05     83.527751   84.375369     0.39668312
LI_S06A:RG01     84.375369   85.294869     0.39851078
LI_S06A:RG02     85.294869   86.215967     0.40040057
LI_S06A:RG03     86.215967   87.138426     0.40227944
LI_S06A:RG04     87.138426   88.062244     0.40414730
LI_S06A:RG05     88.062244   88.987700     0.40600457
LI_S06B:RG01     88.987700   89.914404     0.40785127
LI_S06B:RG02     89.914404   90.842287     0.40968710
LI_S06B:RG03     90.842287   91.771435     0.41151221
LI_S06B:RG04     91.771435   92.702217     0.41332719
LI_S06B:RG05     92.702217   93.634486     0.41513238
LI_S07A:RG01     93.634486   94.572104     0.41693145
LI_S07A:RG02     94.572104   95.510745     0.41872402
LI_S07A:RG03     95.510745   96.450566     0.42050619
LI_S07A:RG04     96.450566   97.391458     0.42227814
LI_S07A:RG05     97.391458   98.333837     0.42404028
LI_S07B:RG01     98.333837   99.280755     0.42579595
LI_S07B:RG02     99.280755  100.228952     0.42754500
LI_S07B:RG03    100.228952  101.178132     0.42928424
LI_S07B:RG04    101.178132  102.128233     0.43101347
LI_S07B:RG05    102.128233  103.079464     0.43273293
LI_S08A:RG01    103.079464  104.031531     0.43444269
LI_S08A:RG02    104.031531  104.984752     0.43614286
LI_S08A:RG03    104.984752  105.938519     0.43783331
LI_S08A:RG04    105.938519  106.892990     0.43951375
LI_S08A:RG05    106.892990  107.848697     0.44118493
LI_S08B:RG01    107.848697  108.805669     0.44284742
LI_S08B:RG02    108.805669  109.764045     0.44450147
LI_S08B:RG03    109.764045  110.723199     0.44614675
LI_S08B:RG04    110.723199  111.682736     0.44778250
LI_S08B:RG05    111.682736  112.642993     0.44940877
LI_S09A:RG01    112.642993  113.605807     0.45102750
LI_S09A:RG02    113.605807  114.569408     0.45263883
LI_S09A:RG03    114.569408  115.533706     0.45424128
LI_S09A:RG04    115.533706  116.498267     0.45583452
LI_S09A:RG05    116.498267  117.463296     0.45741847
LI_S09B:RG01    117.463296  118.429810     0.45899423
LI_S09B:RG02    118.429810  119.397055     0.46056210
LI_S09B:RG03    119.397055  120.364713     0.46212130
LI_S09B:RG04    120.364713  121.332964     0.46367182
LI_S09B:RG05    121.332964  122.301907     0.46521397
LI_S10A:RG01    122.301907  123.272745     0.46674886
LI_S10A:RG02    123.272745  124.244485     0.46827674
LI_S10A:RG03    124.244485  125.216640     0.46979652
LI_S10A:RG04    125.216640  126.188946     0.47130769
LI_S10A:RG05    126.188946  127.161454     0.47281020
LI_S10B:RG01    127.161454  128.134976     0.47430479
LI_S10B:RG02    128.134976  129.109185     0.47579191
LI_S10B:RG03    129.109185  130.083461     0.47727093
LI_S10B:RG04    130.083461  131.057664     0.47874135
LI_S10B:RG05    131.057664  132.032279     0.48020353
LI_S11A:RG01    132.032279  133.008132     0.48165853
LI_S11A:RG02    133.008132  133.984226     0.48310630
LI_S11A:RG03    133.984226  134.960524     0.48454614
LI_S11A:RG04    134.960524  135.937167     0.48597821
LI_S11A:RG05    135.937167  136.914067     0.48740263
LI_S11B:RG01    136.914067  137.892299     0.48882019
LI_S11B:RG02    137.892299  138.871017     0.49023112
LI_S11B:RG03    138.871017  139.849803     0.49163457
LI_S11B:RG04    139.849803  140.828267     0.49303005
LI_S11B:RG05    140.828267  141.806867     0.49441769
LI_S12A:RG01    141.806867  142.786066     0.49579821
LI_S12A:RG02    142.786066  143.765509     0.49717175
LI_S12A:RG03    143.765509  144.744848     0.49853791
LI_S12A:RG04    144.744848  145.724030     0.49989646
LI_S12A:RG05    145.724030  146.703336     0.50124765
LI_S12B:RG01    146.703336  147.681247     0.50259071
LI_S12B:RG02    147.681247  148.659212     0.50392565
LI_S12B:RG03    148.659212  149.636975     0.50525339
LI_S12B:RG04    149.636975  150.614616     0.50657388
LI_S12B:RG05    150.614616  151.592518     0.50788748
LI_S13A:RG01    151.592518  152.572903     0.50919601
LI_S13A:RG02    152.572903  153.553409     0.51049941
LI_S13A:RG03    153.553409  154.533492     0.51179580
LI_S13A:RG04    154.533492  155.513718     0.51308526
LI_S13A:RG05    155.513718  156.494078     0.51436822
LI_S13B:RG01    156.494078  157.478643     0.51564738
LI_S13B:RG02    157.478643  158.463274     0.51692271
LI_S13B:RG03    158.463274  159.447728     0.51819141
LI_S13B:RG04    159.447728  160.432146     0.51945349
LI_S13B:RG05    160.432146  161.416752     0.52070923
