 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_ACS05B:RG05    232.456274  232.738390     0.59796836
LI_ACS05B:RG06    232.738390  233.019483     0.59822638
LI_ACS05B:RG07    233.019483  233.299339     0.59848306
LI_ACS05B:RG08    233.299339  233.577738     0.59873823
LI_ACS05B:RG09    233.577738  233.854447     0.59899167
LI_ACS05B:RG10    233.854447  234.129226     0.59924317
LI_ACS05B:RG11    234.129226  234.401820     0.59949251
LI_ACS05B:RG12    234.401820  234.671966     0.59973947
LI_ACS05B:RG13    234.671966  234.939386     0.59998381
LI_ACS05B:RG14    234.939386  235.203787     0.60022527
LI_ACS05B:RG15    235.203787  235.464866     0.60046360
LI_ACS05B:RG16    235.464866  235.722303     0.60069852
LI_ACS05B:RG17    235.722303  235.975766     0.60092974
LI_ACS06A:RG01    235.975766  236.233758     0.60116098
LI_ACS06A:RG02    236.233758  236.495639     0.60139578
LI_ACS06A:RG03    236.495639  236.761074     0.60163369
LI_ACS06A:RG04    236.761074  237.029741     0.60187440
LI_ACS06A:RG05    237.029741  237.301336     0.60211762
LI_ACS06A:RG06    237.301336  237.575566     0.60236307
LI_ACS06A:RG07    237.575566  237.852156     0.60261050
LI_ACS06A:RG08    237.852156  238.130841     0.60285965
LI_ACS06A:RG09    238.130841  238.411371     0.60311029
LI_ACS06A:RG10    238.411371  238.693505     0.60336219
LI_ACS06A:RG11    238.693505  238.977017     0.60361513
LI_ACS06A:RG12    238.977017  239.261686     0.60386892
LI_ACS06A:RG13    239.261686  239.547301     0.60412336
LI_ACS06A:RG14    239.547301  239.833658     0.60437826
LI_ACS06A:RG15    239.833658  240.120560     0.60463343
LI_ACS06A:RG16    240.120560  240.407811     0.60488871
LI_ACS06A:RG17    240.407811  240.695222     0.60514393
LI_ACS06B:RG01    240.695222  240.982905     0.60539904
LI_ACS06B:RG02    240.982905  241.270368     0.60565387
LI_ACS06B:RG03    241.270368  241.557422     0.60590814
LI_ACS06B:RG04    241.557422  241.843874     0.60616167
LI_ACS06B:RG05    241.843874  242.129528     0.60641429
LI_ACS06B:RG06    242.129528  242.414180     0.60666583
LI_ACS06B:RG07    242.414180  242.697625     0.60691611
LI_ACS06B:RG08    242.697625  242.979644     0.60716495
LI_ACS06B:RG09    242.979644  243.260015     0.60741216
LI_ACS06B:RG10    243.260015  243.538502     0.60765754
LI_ACS06B:RG11    243.538502  243.814861     0.60790089
LI_ACS06B:RG12    243.814861  244.088835     0.60814199
LI_ACS06B:RG13    244.088835  244.360156     0.60838063
LI_ACS06B:RG14    244.360156  244.628543     0.60861657
LI_ACS06B:RG15    244.628543  244.893703     0.60884957
LI_ACS06B:RG16    244.893703  245.155326     0.60907937
LI_ACS06B:RG17    245.155326  245.413094     0.60930571
LI_ACS07A:RG01    245.413094  245.675290     0.60953207
LI_ACS07A:RG02    245.675290  245.941257     0.60976176
LI_ACS07A:RG03    245.941257  246.210674     0.60999434
LI_ACS07A:RG04    246.210674  246.483230     0.61022954
LI_ACS07A:RG05    246.483230  246.758632     0.61046707
LI_ACS07A:RG06    246.758632  247.036598     0.61070670
LI_ACS07A:RG07    247.036598  247.316862     0.61094816
LI_ACS07A:RG08    247.316862  247.599167     0.61119123
LI_ACS07A:RG09    247.599167  247.883272     0.61143569
LI_ACS07A:RG10    247.883272  248.168944     0.61168133
LI_ACS07A:RG11    248.168944  248.455961     0.61192794
LI_ACS07A:RG12    248.455961  248.744110     0.61217534
LI_ACS07A:RG13    248.744110  249.033185     0.61242335
LI_ACS07A:RG14    249.033185  249.322987     0.61267178
LI_ACS07A:RG15    249.322987  249.613323     0.61292047
LI_ACS07A:RG16    249.613323  249.904002     0.61316926
LI_ACS07A:RG17    249.904002  250.194838     0.61341798
LI_ACS07B:RG01    250.194838  250.485932     0.61366658
LI_ACS07B:RG02    250.485932  250.776813     0.61391493
LI_ACS07B:RG03    250.776813  251.067295     0.61416273
LI_ACS07B:RG04    251.067295  251.357189     0.61440984
LI_ACS07B:RG05    251.357189  251.646305     0.61465608
LI_ACS07B:RG06    251.646305  251.934444     0.61490129
LI_ACS07B:RG07    251.934444  252.221405     0.61514532
LI_ACS07B:RG08    252.221405  252.506977     0.61538799
LI_ACS07B:RG09    252.506977  252.790943     0.61562912
LI_ACS07B:RG10    252.790943  253.073075     0.61586853
LI_ACS07B:RG11    253.073075  253.353136     0.61610603
LI_ACS07B:RG12    253.353136  253.630878     0.61634141
LI_ACS07B:RG13    253.630878  253.906043     0.61657448
LI_ACS07B:RG14    253.906043  254.178358     0.61680501
LI_ACS07B:RG15    254.178358  254.447541     0.61703279
LI_ACS07B:RG16    254.447541  254.713296     0.61725757
LI_ACS07B:RG17    254.713296  254.975313     0.61747911
LI_ACS08A:RG01    254.975313  255.241596     0.61770065
LI_ACS08A:RG02    255.241596  255.511530     0.61792527
LI_ACS08A:RG03    255.511530  255.784805     0.61815259
LI_ACS08A:RG04    255.784805  256.061123     0.61838234
LI_ACS08A:RG05    256.061123  256.340202     0.61861426
LI_ACS08A:RG06    256.340202  256.621770     0.61884812
LI_ACS08A:RG07    256.621770  256.905569     0.61908370
LI_ACS08A:RG08    256.905569  257.191354     0.61932078
LI_ACS08A:RG09    257.191354  257.478888     0.61955915
LI_ACS08A:RG10    257.478888  257.767947     0.61979861
LI_ACS08A:RG11    257.767947  258.058315     0.62003898
LI_ACS08A:RG12    258.058315  258.349785     0.62028009
LI_ACS08A:RG13    258.349785  258.642156     0.62052175
LI_ACS08A:RG14    258.642156  258.935235     0.62076381
LI_ACS08A:RG15    258.935235  259.228832     0.62100610
LI_ACS08A:RG16    259.228832  259.522762     0.62124847
LI_ACS08A:RG17    259.522762  259.816843     0.62149077
LI_ACS08B:RG01    259.816843  260.111162     0.62173296
LI_ACS08B:RG02    260.111162  260.405269     0.62197488
LI_ACS08B:RG03    260.405269  260.698982     0.62221629
LI_ACS08B:RG04    260.698982  260.992117     0.62245702
LI_ACS08B:RG05    260.992117  261.284486     0.62269693
LI_ACS08B:RG06    261.284486  261.575897     0.62293587
LI_ACS08B:RG07    261.575897  261.866153     0.62317369
LI_ACS08B:RG08    261.866153  262.155048     0.62341021
LI_ACS08B:RG09    262.155048  262.442371     0.62364527
LI_ACS08B:RG10    262.442371  262.727902     0.62387871
LI_ACS08B:RG11    262.727902  263.011410     0.62411034
LI_ACS08B:RG12    263.011410  263.292655     0.62433998
LI_ACS08B:RG13    263.292655  263.571386     0.62456744
LI_ACS08B:RG14    263.571386  263.847342     0.62479250
LI_ACS08B:RG15    263.847342  264.120249     0.62501498
LI_ACS08B:RG16    264.120249  264.389821     0.62523463
LI_ACS08B:RG17    264.389821  264.655762     0.62545125
LI_ACS09A:RG01    264.655762  264.926015     0.62566792
LI_ACS09A:RG02    264.926015  265.199809     0.62588754
LI_ACS09A:RG03    265.199809  265.476845     0.62610967
LI_ACS09A:RG04    265.476845  265.756837     0.62633406
LI_ACS09A:RG05    265.756837  266.039512     0.62656048
LI_ACS09A:RG06    266.039512  266.324607     0.62678872
LI_ACS09A:RG07    266.324607  266.611875     0.62701855
LI_ACS09A:RG08    266.611875  266.901076     0.62724978
LI_ACS09A:RG09    266.901076  267.191983     0.62748222
LI_ACS09A:RG10    267.191983  267.484377     0.62771568
LI_ACS09A:RG11    267.484377  267.778050     0.62794999
LI_ACS09A:RG12    267.778050  268.072798     0.62818499
LI_ACS09A:RG13    268.072798  268.368428     0.62842050
LI_ACS09A:RG14    268.368428  268.664750     0.62865638
LI_ACS09A:RG15    268.664750  268.961579     0.62889248
LI_ACS09A:RG16    268.961579  269.258734     0.62912864
LI_ACS09A:RG17    269.258734  269.556037     0.62936473
LI_ACS09B:RG01    269.556037  269.853569     0.62960071
LI_ACS09B:RG02    269.853569  270.150894     0.62983643
LI_ACS09B:RG03    270.150894  270.447835     0.63007166
LI_ACS09B:RG04    270.447835  270.744212     0.63030625
LI_ACS09B:RG05    270.744212  271.039841     0.63054006
LI_ACS09B:RG06    271.039841  271.334535     0.63077295
LI_ACS09B:RG07    271.334535  271.628102     0.63100478
LI_ACS09B:RG08    271.628102  271.920343     0.63123538
LI_ACS09B:RG09    271.920343  272.211052     0.63146461
LI_ACS09B:RG10    272.211052  272.500014     0.63169231
LI_ACS09B:RG11    272.500014  272.787008     0.63191830
LI_ACS09B:RG12    272.787008  273.071800     0.63214241
LI_ACS09B:RG13    273.071800  273.354149     0.63236448
LI_ACS09B:RG14    273.354149  273.633801     0.63258429
LI_ACS09B:RG15    273.633801  273.910494     0.63280167
LI_ACS09B:RG16    273.910494  274.183951     0.63301641
LI_ACS09B:RG17    274.183951  274.453886     0.63322830
LI_ACS10A:RG01    274.453886  274.728001     0.63344023
LI_ACS10A:RG02    274.728001  275.005547     0.63365491
LI_ACS10A:RG03    275.005547  275.286237     0.63387192
LI_ACS10A:RG04    275.286237  275.569795     0.63409104
LI_ACS10A:RG05    275.569795  275.855958     0.63431206
LI_ACS10A:RG06    275.855958  276.144474     0.63453476
LI_ACS10A:RG07    276.144474  276.435101     0.63475896
LI_ACS10A:RG08    276.435101  276.727609     0.63498446
LI_ACS10A:RG09    276.727609  277.021778     0.63521108
LI_ACS10A:RG10    277.021778  277.317395     0.63543866
LI_ACS10A:RG11    277.317395  277.614258     0.63566703
LI_ACS10A:RG12    277.614258  277.912171     0.63589604
LI_ACS10A:RG13    277.912171  278.210942     0.63612553
LI_ACS10A:RG14    278.210942  278.510388     0.63635535
LI_ACS10A:RG15    278.510388  278.810329     0.63658537
LI_ACS10A:RG16    278.810329  279.110587     0.63681545
LI_ACS10A:RG17    279.110587  279.410989     0.63704546
LI_ACS10B:RG01    279.410989  279.711601     0.63727534
LI_ACS10B:RG02    279.711601  280.012010     0.63750498
LI_ACS10B:RG03    280.012010  280.312042     0.63773414
LI_ACS10B:RG04    280.312042  280.611521     0.63796270
LI_ACS10B:RG05    280.611521  280.910268     0.63819052
LI_ACS10B:RG06    280.910268  281.208100     0.63841746
LI_ACS10B:RG07    281.208100  281.504831     0.63864339
LI_ACS10B:RG08    281.504831  281.800265     0.63886817
LI_ACS10B:RG09    281.800265  282.094204     0.63909164
LI_ACS10B:RG10    282.094204  282.386439     0.63931366
LI_ACS10B:RG11    282.386439  282.676754     0.63953408
LI_ACS10B:RG12    282.676754  282.964924     0.63975273
LI_ACS10B:RG13    282.964924  283.250716     0.63996944
LI_ACS10B:RG14    283.250716  283.533884     0.64018404
LI_ACS10B:RG15    283.533884  283.814174     0.64039635
LI_ACS10B:RG16    283.814174  284.091321     0.64060617
LI_ACS10B:RG17    284.091321  284.365049     0.64081332
LI_ACS11A:RG01    284.365049  284.655339     0.64102519
LI_ACS11A:RG02    284.655339  284.947019     0.64124358
LI_ACS11A:RG03    284.947019  285.239886     0.64146271
LI_ACS11A:RG04    285.239886  285.533743     0.64168242
LI_ACS11A:RG05    285.533743  285.828399     0.64190256
LI_ACS11A:RG06    285.828399  286.123667     0.64212300
LI_ACS11A:RG07    286.123667  286.419364     0.64234359
LI_ACS11A:RG08    286.419364  286.715308     0.64256420
LI_ACS11A:RG09    286.715308  287.011319     0.64278469
LI_ACS11A:RG10    287.011319  287.307219     0.64300493
LI_ACS11A:RG11    287.307219  287.602830     0.64322478
LI_ACS11A:RG12    287.602830  287.897969     0.64344412
LI_ACS11A:RG13    287.897969  288.192456     0.64366281
LI_ACS11A:RG14    288.192456  288.486105     0.64388072
LI_ACS11A:RG15    288.486105  288.778726     0.64409770
LI_ACS11A:RG16    288.778726  289.070127     0.64431363
LI_ACS11A:RG17    289.070127  289.360107     0.64452836
LI_ACS11B:RG01    289.360107  289.651997     0.64474304
LI_ACS11B:RG02    289.651997  289.945258     0.64495870
LI_ACS11B:RG03    289.945258  290.239692     0.64517508
LI_ACS11B:RG04    290.239692  290.535104     0.64539202
LI_ACS11B:RG05    290.535104  290.831307     0.64560938
LI_ACS11B:RG06    290.831307  291.128115     0.64582703
LI_ACS11B:RG07    291.128115  291.425347     0.64604481
LI_ACS11B:RG08    291.425347  291.722824     0.64626262
LI_ACS11B:RG09    291.722824  292.020370     0.64648031
LI_ACS11B:RG10    292.020370  292.317806     0.64669775
LI_ACS11B:RG11    292.317806  292.614957     0.64691481
LI_ACS11B:RG12    292.614957  292.911645     0.64713138
LI_ACS11B:RG13    292.911645  293.207688     0.64734731
LI_ACS11B:RG14    293.207688  293.502905     0.64756248
LI_ACS11B:RG15    293.502905  293.797109     0.64777675
LI_ACS11B:RG16    293.797109  294.090109     0.64799000
LI_ACS11B:RG17    294.090109  294.381709     0.64820208
LI_ACS12A:RG01    294.381709  294.663013     0.64840970
LI_ACS12A:RG02    294.663013  294.947544     0.64861455
LI_ACS12A:RG03    294.947544  295.235035     0.64882144
LI_ACS12A:RG04    295.235035  295.525231     0.64903016
LI_ACS12A:RG05    295.525231  295.817885     0.64924053
LI_ACS12A:RG06    295.817885  296.112764     0.64945237
LI_ACS12A:RG07    296.112764  296.409642     0.64966551
LI_ACS12A:RG08    296.409642  296.708305     0.64987979
LI_ACS12A:RG09    296.708305  297.008544     0.65009505
LI_ACS12A:RG10    297.008544  297.310162     0.65031115
LI_ACS12A:RG11    297.310162  297.612966     0.65052793
LI_ACS12A:RG12    297.612966  297.916770     0.65074527
LI_ACS12A:RG13    297.916770  298.221396     0.65096302
LI_ACS12A:RG14    298.221396  298.526667     0.65118107
LI_ACS12A:RG15    298.526667  298.832412     0.65139928
LI_ACS12A:RG16    298.832412  299.138464     0.65161753
LI_ACS12A:RG17    299.138464  299.444656     0.65183571
LI_ACS12B:RG01    299.444656  299.751075     0.65205379
LI_ACS12B:RG02    299.751075  300.057305     0.65227165
LI_ACS12B:RG03    300.057305  300.363178     0.65248907
LI_ACS12B:RG04    300.363178  300.668529     0.65270595
LI_ACS12B:RG05    300.668529  300.973186     0.65292217
LI_ACS12B:RG06    300.973186  301.276978     0.65313761
LI_ACS12B:RG07    301.276978  301.579725     0.65335214
LI_ACS12B:RG08    301.579725  301.881247     0.65356564
LI_ACS12B:RG09    301.881247  302.181353     0.65377799
LI_ACS12B:RG10    302.181353  302.479850     0.65398904
LI_ACS12B:RG11    302.479850  302.776534     0.65419868
LI_ACS12B:RG12    302.776534  303.071195     0.65440674
LI_ACS12B:RG13    303.071195  303.363615     0.65461309
LI_ACS12B:RG14    303.363615  303.653567     0.65481758
LI_ACS12B:RG15    303.653567  303.940813     0.65502004
LI_ACS12B:RG16    303.940813  304.225108     0.65522033
LI_ACS12B:RG17    304.225108  304.506196     0.65541825
LI_ACS13A:RG01    304.506196  304.791039     0.65561618
LI_ACS13A:RG02    304.791039  305.079007     0.65581631
LI_ACS13A:RG03    305.079007  305.369843     0.65601833
LI_ACS13A:RG04    305.369843  305.663301     0.65622207
LI_ACS13A:RG05    305.663301  305.959144     0.65642734
LI_ACS13A:RG06    305.959144  306.257147     0.65663398
LI_ACS13A:RG07    306.257147  306.557091     0.65684184
LI_ACS13A:RG08    306.557091  306.858769     0.65705075
LI_ACS13A:RG09    306.858769  307.161979     0.65726058
LI_ACS13A:RG10    307.161979  307.466529     0.65747118
LI_ACS13A:RG11    307.466529  307.772232     0.65768243
LI_ACS13A:RG12    307.772232  308.078908     0.65789419
LI_ACS13A:RG13    308.078908  308.386382     0.65810633
LI_ACS13A:RG14    308.386382  308.694483     0.65831874
LI_ACS13A:RG15    308.694483  309.003044     0.65853130
LI_ACS13A:RG16    309.003044  309.311900     0.65874390
LI_ACS13A:RG17    309.311900  309.620890     0.65895641
LI_ACS13B:RG01    309.620890  309.930099     0.65916882
LI_ACS13B:RG02    309.930099  310.239119     0.65938102
LI_ACS13B:RG03    310.239119  310.547788     0.65959280
LI_ACS13B:RG04    310.547788  310.855941     0.65980406
LI_ACS13B:RG05    310.855941  311.163414     0.66001469
LI_ACS13B:RG06    311.163414  311.470037     0.66022458
LI_ACS13B:RG07    311.470037  311.775637     0.66043360
LI_ACS13B:RG08    311.775637  312.080037     0.66064165
LI_ACS13B:RG09    312.080037  312.383052     0.66084860
LI_ACS13B:RG10    312.383052  312.684493     0.66105433
LI_ACS13B:RG11    312.684493  312.984163     0.66125870
LI_ACS13B:RG12    312.984163  313.281860     0.66146160
LI_ACS13B:RG13    313.281860  313.577371     0.66166288
LI_ACS13B:RG14    313.577371  313.870475     0.66186240
LI_ACS13B:RG15    313.870475  314.160946     0.66206001
LI_ACS13B:RG16    314.160946  314.448543     0.66225556
LI_ACS13B:RG17    314.448543  314.733022     0.66244890
LI_ACS14A:RG01    314.733022  315.021302     0.66264228
LI_ACS14A:RG02    315.021302  315.312618     0.66283777
LI_ACS14A:RG03    315.312618  315.606722     0.66303503
LI_ACS14A:RG04    315.606722  315.903375     0.66323390
LI_ACS14A:RG05    315.903375  316.202351     0.66343420
LI_ACS14A:RG06    316.202351  316.503430     0.66363578
LI_ACS14A:RG07    316.503430  316.806401     0.66383850
LI_ACS14A:RG08    316.806401  317.111062     0.66404221
LI_ACS14A:RG09    317.111062  317.417219     0.66424677
LI_ACS14A:RG10    317.417219  317.724685     0.66445206
LI_ACS14A:RG11    317.724685  318.033278     0.66465796
LI_ACS14A:RG12    318.033278  318.342823     0.66486433
LI_ACS14A:RG13    318.342823  318.653149     0.66507106
LI_ACS14A:RG14    318.653149  318.964090     0.66527804
LI_ACS14A:RG15    318.964090  319.275484     0.66548516
LI_ACS14A:RG16    319.275484  319.587168     0.66569230
LI_ACS14A:RG17    319.587168  319.898985     0.66589937
LI_ACS14B:RG01    319.898985  320.211032     0.66610634
LI_ACS14B:RG02    320.211032  320.522896     0.66631311
LI_ACS14B:RG03    320.522896  320.834421     0.66651949
LI_ACS14B:RG04    320.834421  321.145445     0.66672537
LI_ACS14B:RG05    321.145445  321.455809     0.66693066
LI_ACS14B:RG06    321.455809  321.765346     0.66713524
LI_ACS14B:RG07    321.765346  322.073889     0.66733900
LI_ACS14B:RG08    322.073889  322.381265     0.66754185
LI_ACS14B:RG09    322.381265  322.687295     0.66774365
LI_ACS14B:RG10    322.687295  322.991796     0.66794431
LI_ACS14B:RG11    322.991796  323.294577     0.66814369
LI_ACS14B:RG12    323.294577  323.595441     0.66834167
LI_ACS14B:RG13    323.595441  323.894184     0.66853814
LI_ACS14B:RG14    323.894184  324.190592     0.66873295
LI_ACS14B:RG15    324.190592  324.484446     0.66892596
LI_ACS14B:RG16    324.484446  324.775515     0.66911704
LI_ACS14B:RG17    324.775515  325.063563     0.66930605
LI_ACS15A:RG01    325.063563  325.355183     0.66949504
LI_ACS15A:RG02    325.355183  325.649748     0.66968598
LI_ACS15A:RG03    325.649748  325.947019     0.66987856
LI_ACS15A:RG04    325.947019  326.246766     0.67007265
LI_ACS15A:RG05    326.246766  326.548770     0.67026807
LI_ACS15A:RG06    326.548770  326.852818     0.67046469
LI_ACS15A:RG07    326.852818  327.158708     0.67066237
LI_ACS15A:RG08    327.158708  327.466243     0.67086098
LI_ACS15A:RG09    327.466243  327.775234     0.67106039
LI_ACS15A:RG10    327.775234  328.085501     0.67126048
LI_ACS15A:RG11    328.085501  328.396866     0.67146112
LI_ACS15A:RG12    328.396866  328.709160     0.67166221
LI_ACS15A:RG13    328.709160  329.022215     0.67186364
LI_ACS15A:RG14    329.022215  329.335871     0.67206530
LI_ACS15A:RG15    329.335871  329.649967     0.67226708
LI_ACS15A:RG16    329.649967  329.964348     0.67246888
LI_ACS15A:RG17    329.964348  330.278858     0.67267061
LI_ACS15B:RG01    330.278858  330.593601     0.67287224
LI_ACS15B:RG02    330.593601  330.908165     0.67307368
LI_ACS15B:RG03    330.908165  331.222398     0.67327474
LI_ACS15B:RG04    331.222398  331.536142     0.67347534
LI_ACS15B:RG05    331.536142  331.849241     0.67367536
LI_ACS15B:RG06    331.849241  332.161533     0.67387471
LI_ACS15B:RG07    332.161533  332.472855     0.67407330
LI_ACS15B:RG08    332.472855  332.783038     0.67427101
LI_ACS15B:RG09    332.783038  333.091909     0.67446773
LI_ACS15B:RG10    333.091909  333.399290     0.67466337
LI_ACS15B:RG11    333.399290  333.704996     0.67485780
LI_ACS15B:RG12    333.704996  334.008835     0.67505092
LI_ACS15B:RG13    334.008835  334.310611     0.67524260
LI_ACS15B:RG14    334.310611  334.610116     0.67543272
LI_ACS15B:RG15    334.610116  334.907139     0.67562115
LI_ACS15B:RG16    334.907139  335.201457     0.67580776
LI_ACS15B:RG17    335.201457  335.492841     0.67599241
LI_ACS16A:RG01    335.492841  335.787695     0.67617706
LI_ACS16A:RG02    335.787695  336.085407     0.67636351
LI_ACS16A:RG03    336.085407  336.385747     0.67655151
LI_ACS16A:RG04    336.385747  336.688494     0.67674090
LI_ACS16A:RG05    336.688494  336.993435     0.67693155
LI_ACS16A:RG06    336.993435  337.300365     0.67712332
LI_ACS16A:RG07    337.300365  337.609088     0.67731608
LI_ACS16A:RG08    337.609088  337.919414     0.67750971
LI_ACS16A:RG09    337.919414  338.231160     0.67770409
LI_ACS16A:RG10    338.231160  338.544149     0.67789910
LI_ACS16A:RG11    338.544149  338.858210     0.67809463
LI_ACS16A:RG12    338.858210  339.173177     0.67829058
LI_ACS16A:RG13    339.173177  339.488889     0.67848684
LI_ACS16A:RG14    339.488889  339.805187     0.67868332
LI_ACS16A:RG15    339.805187  340.121917     0.67887990
LI_ACS16A:RG16    340.121917  340.438925     0.67907651
LI_ACS16A:RG17    340.438925  340.756060     0.67927303
LI_ACS16B:RG01    340.756060  341.073418     0.67946946
LI_ACS16B:RG02    341.073418  341.390604     0.67966571
LI_ACS16B:RG03    341.390604  341.707465     0.67986160
LI_ACS16B:RG04    341.707465  342.023851     0.68005704
LI_ACS16B:RG05    342.023851  342.339608     0.68025194
LI_ACS16B:RG06    342.339608  342.654580     0.68044620
LI_ACS16B:RG07    342.654580  342.968606     0.68063974
LI_ACS16B:RG08    342.968606  343.281522     0.68083244
LI_ACS16B:RG09    343.281522  343.593162     0.68102422
LI_ACS16B:RG10    343.593162  343.903351     0.68121496
LI_ACS16B:RG11    343.903351  344.211910     0.68140457
LI_ACS16B:RG12    344.211910  344.518655     0.68159294
LI_ACS16B:RG13    344.518655  344.823393     0.68177995
LI_ACS16B:RG14    344.823393  345.125926     0.68196549
LI_ACS16B:RG15    345.125926  345.426047     0.68214944
LI_ACS16B:RG16    345.426047  345.723544     0.68233168
LI_ACS16B:RG17    345.723544  346.018194     0.68251207
LI_ACS17A:RG01    346.018194  346.316187     0.68269244
LI_ACS17A:RG02    346.316187  346.616951     0.68287450
LI_ACS17A:RG03    346.616951  346.920263     0.68305800
LI_ACS17A:RG04    346.920263  347.225911     0.68324280
LI_ACS17A:RG05    347.225911  347.533687     0.68342878
LI_ACS17A:RG06    347.533687  347.843396     0.68361580
LI_ACS17A:RG07    347.843396  348.154845     0.68380374
LI_ACS17A:RG08    348.154845  348.467852     0.68399249
LI_ACS17A:RG09    348.467852  348.782239     0.68418194
LI_ACS17A:RG10    348.782239  349.097835     0.68437198
LI_ACS17A:RG11    349.097835  349.414474     0.68456251
LI_ACS17A:RG12    349.414474  349.731993     0.68475342
LI_ACS17A:RG13    349.731993  350.050236     0.68494462
LI_ACS17A:RG14    350.050236  350.369049     0.68513601
LI_ACS17A:RG15    350.369049  350.688279     0.68532751
LI_ACS17A:RG16    350.688279  351.007779     0.68551901
LI_ACS17A:RG17    351.007779  351.327401     0.68571044
LI_ACS17B:RG01    351.327401  351.647231     0.68590177
LI_ACS17B:RG02    351.647231  351.966889     0.68609292
LI_ACS17B:RG03    351.966889  352.286228     0.68628372
LI_ACS17B:RG04    352.286228  352.605100     0.68647409
LI_ACS17B:RG05    352.605100  352.923355     0.68666395
LI_ACS17B:RG06    352.923355  353.240840     0.68685320
LI_ACS17B:RG07    353.240840  353.557400     0.68704176
LI_ACS17B:RG08    353.557400  353.872874     0.68722953
LI_ACS17B:RG09    353.872874  354.187101     0.68741642
LI_ACS17B:RG10    354.187101  354.499910     0.68760233
LI_ACS17B:RG11    354.499910  354.811128     0.68778717
LI_ACS17B:RG12    354.811128  355.120576     0.68797083
LI_ACS17B:RG13    355.120576  355.428067     0.68815320
LI_ACS17B:RG14    355.428067  355.733410     0.68833419
LI_ACS17B:RG15    355.733410  356.036405     0.68851367
LI_ACS17B:RG16    356.036405  356.336845     0.68869154
LI_ACS17B:RG17    356.336845  356.634517     0.68886767
LI_ACS18A:RG01    356.634517  356.935559     0.68904381
LI_ACS18A:RG02    356.935559  357.239288     0.68922156
LI_ACS18A:RG03    357.239288  357.545488     0.68940066
LI_ACS18A:RG04    357.545488  357.853955     0.68958097
LI_ACS18A:RG05    357.853955  358.164490     0.68976238
LI_ACS18A:RG06    358.164490  358.476901     0.68994476
LI_ACS18A:RG07    358.476901  358.791004     0.69012801
LI_ACS18A:RG08    358.791004  359.106621     0.69031201
LI_ACS18A:RG09    359.106621  359.423581     0.69049666
LI_ACS18A:RG10    359.423581  359.741716     0.69068186
LI_ACS18A:RG11    359.741716  360.060865     0.69086752
LI_ACS18A:RG12    360.060865  360.380871     0.69105353
LI_ACS18A:RG13    360.380871  360.701582     0.69123981
LI_ACS18A:RG14    360.701582  361.022845     0.69142627
LI_ACS18A:RG15    361.022845  361.344515     0.69161281
LI_ACS18A:RG16    361.344515  361.666446     0.69179937
LI_ACS18A:RG17    361.666446  361.988493     0.69198584
LI_ACS18B:RG01    361.988493  362.310741     0.69217221
LI_ACS18B:RG02    362.310741  362.632819     0.69235841
LI_ACS18B:RG03    362.632819  362.954584     0.69254428
LI_ACS18B:RG04    362.954584  363.275891     0.69272973
LI_ACS18B:RG05    363.275891  363.596593     0.69291470
LI_ACS18B:RG06    363.596593  363.916541     0.69309909
LI_ACS18B:RG07    363.916541  364.235585     0.69328281
LI_ACS18B:RG08    364.235585  364.553568     0.69346579
LI_ACS18B:RG09    364.553568  364.870331     0.69364793
LI_ACS18B:RG10    364.870331  365.185711     0.69382915
LI_ACS18B:RG11    365.185711  365.499538     0.69400935
LI_ACS18B:RG12    365.499538  365.811640     0.69418843
LI_ACS18B:RG13    365.811640  366.121834     0.69436630
LI_ACS18B:RG14    366.121834  366.429936     0.69454285
LI_ACS18B:RG15    366.429936  366.735753     0.69471799
LI_ACS18B:RG16    366.735753  367.039084     0.69489160
LI_ACS18B:RG17    367.039084  367.339723     0.69506357
LI_ACS19A:RG01    367.339723  367.643734     0.69523557
LI_ACS19A:RG02    367.643734  367.950356     0.69540911
LI_ACS19A:RG03    367.950356  368.259383     0.69558391
LI_ACS19A:RG04    368.259383  368.570616     0.69575985
LI_ACS19A:RG05    368.570616  368.883863     0.69593682
LI_ACS19A:RG06    368.883863  369.198939     0.69611470
LI_ACS19A:RG07    369.198939  369.515665     0.69629339
LI_ACS19A:RG08    369.515665  369.833868     0.69647279
LI_ACS19A:RG09    369.833868  370.153382     0.69665280
LI_ACS19A:RG10    370.153382  370.474045     0.69683332
LI_ACS19A:RG11    370.474045  370.795700     0.69701427
LI_ACS19A:RG12    370.795700  371.118193     0.69719555
LI_ACS19A:RG13    371.118193  371.441377     0.69737709
LI_ACS19A:RG14    371.441377  371.765103     0.69755878
LI_ACS19A:RG15    371.765103  372.089229     0.69774056
LI_ACS19A:RG16    372.089229  372.413613     0.69792234
LI_ACS19A:RG17    372.413613  372.738114     0.69810405
LI_ACS19B:RG01    372.738114  373.062821     0.69828566
LI_ACS19B:RG02    373.062821  373.387365     0.69846711
LI_ACS19B:RG03    373.387365  373.711607     0.69864824
LI_ACS19B:RG04    373.711607  374.035406     0.69882898
LI_ACS19B:RG05    374.035406  374.358618     0.69900926
LI_ACS19B:RG06    374.358618  374.681099     0.69918899
LI_ACS19B:RG07    374.681099  375.002702     0.69936809
LI_ACS19B:RG08    375.002702  375.323274     0.69954648
LI_ACS19B:RG09    375.323274  375.642662     0.69972409
