beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.6664889      0.6663889      -0.05768536    -0.05762397     5.955584e-18  -2.192748e-17    -2.957161e-16  -3.716842e-17   
1  0.646162        10.50904        0.6629091       0.662824      -0.05778489    -0.05781925    -1.239598e-17   -2.02985e-17    -5.826413e-17  -3.521016e-17   
2  0.642323        10.57184        0.6592739      0.6592029      -0.05798398     -0.0580147     -1.14303e-18  -1.870661e-17    -4.787269e-16  -3.327815e-17   
3  0.638485        10.63539        0.6555824      0.6555247      -0.05818306    -0.05821028    -7.338206e-17  -1.715241e-17    -5.026353e-16  -3.137319e-17   
4  0.634646        10.69972        0.6518335      0.6517882      -0.05838209    -0.05840593     -6.49318e-17  -1.563648e-17     4.335736e-16  -2.949608e-17   
5  0.630808        10.76482         0.648026      0.6479922        -0.058581    -0.05860161    -1.702809e-17   -1.41594e-17     4.575661e-16  -2.764765e-17   
6  0.626970        10.83073        0.6441587      0.6441358      -0.05877974    -0.05879725    -5.207888e-18  -1.272177e-17      2.67116e-16  -2.582872e-17   
7  0.623131        10.89744        0.6402306      0.6402177      -0.05897826    -0.05899281     1.846783e-17  -1.132413e-17    -5.292332e-16  -2.404015e-17   
8  0.619293        10.96499        0.6362404      0.6362367      -0.05917649    -0.05918821     -7.69928e-17  -9.967062e-18    -2.465432e-18  -2.228279e-17   
9  0.615455        11.03337        0.6321868      0.6321915      -0.05937437     -0.0593834     1.932134e-17  -8.651108e-18      6.43244e-16  -2.055754e-17   
10  0.611616        11.10261        0.6280687      0.6280811      -0.05957183     -0.0595783     1.087896e-17  -7.376809e-18    -3.471805e-16  -1.886526e-17   
11  0.607778        11.17273        0.6238847      0.6239041      -0.05976879    -0.05977285    -2.925915e-17  -6.144692e-18    -5.434552e-16  -1.720688e-17   
12  0.603939        11.24374        0.6196336      0.6196592      -0.05996519    -0.05996697    -6.579144e-17  -4.955269e-18    -4.083644e-16   -1.55833e-17   
13  0.600101        11.31566         0.615314       0.615345      -0.06016094    -0.06016059    -8.752895e-17  -3.809037e-18     3.144728e-16  -1.399545e-17   
14  0.596263         11.3885        0.6109246      0.6109603      -0.06035596    -0.06035362      -1.9697e-17  -2.706476e-18     9.503591e-16  -1.244428e-17   
15  0.592424        11.46229        0.6064639      0.6065037      -0.06055017    -0.06054598     5.184111e-17  -1.648047e-18     1.568068e-16  -1.093073e-17   
16  0.588586        11.53704        0.6019305      0.6019738      -0.06074347    -0.06073758     2.812493e-18    -6.3419e-19    -1.214083e-16  -9.455778e-18   
17  0.584747        11.61277         0.597323       0.597369      -0.06093578    -0.06092832     3.409601e-17   3.346784e-19     4.150979e-16  -8.020391e-18   
18  0.580909         11.6895          0.59264      0.5926881      -0.06112698     -0.0611181     6.610159e-17   1.258165e-18     8.431821e-17  -6.625554e-18   
19  0.577071        11.76725        0.5878798      0.5879293      -0.06131698    -0.06130682     4.678217e-17   2.135906e-18    -2.807347e-16  -5.272261e-18   
20  0.573232        11.84605        0.5830409      0.5830914      -0.06150567    -0.06149437     2.211993e-17   2.967563e-18     -4.41535e-16  -3.961514e-18   
21  0.569394         11.9259        0.5781218      0.5781726      -0.06169294    -0.06168064    -2.340401e-17   3.752831e-18     3.862007e-16   -2.69432e-18   
22  0.565556        12.00684        0.5731208      0.5731713      -0.06187865     -0.0618655     8.525622e-17   4.491441e-18        1.943e-16  -1.471693e-18   
23  0.561717        12.08889        0.5680363      0.5680861       -0.0620627    -0.06204883     6.994214e-18   5.183158e-18    -8.504948e-16  -2.946539e-19   
24  0.557879        12.17207        0.5628666      0.5629151      -0.06224495    -0.06223049    -5.514738e-17   5.827788e-18     -1.79269e-16   8.357766e-19   
25  0.554040        12.25639        0.5576099      0.5576567      -0.06242525    -0.06241036    -2.237952e-17   6.425177e-18     2.428926e-16   1.918575e-18   
26  0.550202         12.3419        0.5522646      0.5523093      -0.06260348    -0.06258827    -1.406776e-17    6.97522e-18     5.413991e-16   2.952716e-18   
27  0.546364        12.42861        0.5468289      0.5468709      -0.06277947    -0.06276409     7.138868e-17   7.477857e-18     1.617612e-16    3.93718e-18   
28  0.542525        12.51654        0.5413008      0.5413399      -0.06295307    -0.06293765     1.317126e-17   7.933083e-18    -1.032982e-16   4.870949e-18   
29  0.538687        12.60572        0.5356786      0.5357143      -0.06312411    -0.06310877     5.379284e-17   8.340948e-18      2.16872e-16   5.753011e-18   
30  0.534848        12.69619        0.5299603      0.5299925      -0.06329242     -0.0632773     5.182729e-17   8.701558e-18    -4.340843e-16   6.582364e-18   
31  0.531010        12.78796        0.5241441      0.5241723      -0.06345782    -0.06344304    -2.585393e-17   9.015087e-18    -3.667265e-16   7.358017e-18   
32  0.527172        12.88107        0.5182279      0.5182519      -0.06362011    -0.06360579    -1.533352e-17   9.281771e-18     2.985312e-16   8.078995e-18   
33  0.523333        12.97555        0.5122097      0.5122294      -0.06377911    -0.06376537     3.039988e-17   9.501922e-18     4.088162e-16   8.744339e-18   
34  0.519495        13.07142        0.5060875      0.5061026       -0.0639346    -0.06392154     6.237891e-17   9.675922e-18    -1.943696e-16   9.353113e-18   
35  0.515657        13.16872        0.4998592      0.4998697      -0.06408636     -0.0640741     -7.90034e-18   9.804238e-18     -6.91945e-17   9.904407e-18   
36  0.511818        13.26748        0.4935227      0.4935284      -0.06423417    -0.06422281     4.976589e-17   9.887419e-18     3.070891e-16   1.039734e-17   
37  0.507980        13.36773        0.4870759      0.4870767      -0.06437778    -0.06436742      5.28004e-17   9.926102e-18     -2.60327e-16   1.083106e-17   
38  0.504141        13.46951        0.4805164      0.4805124      -0.06451695    -0.06450768     -3.27143e-18   9.921021e-18    -6.861024e-17   1.120477e-17   
39  0.500303        13.57285        0.4738422      0.4738333      -0.06465141    -0.06464333     3.948046e-17   9.873007e-18    -1.554288e-16    1.15177e-17   
40  0.496465        13.67779        0.4670509      0.4670373      -0.06478089    -0.06477407    -3.655314e-17   9.782997e-18     1.289287e-16   1.176915e-17   
41  0.492626        13.78436        0.4601402      0.4601219       -0.0649051    -0.06489961     6.814592e-17   9.652036e-18     1.262608e-17   1.195846e-17   
42  0.488788        13.89261        0.4531079      0.4530851      -0.06502374    -0.06501965    -3.546405e-17   9.481284e-18    -5.088254e-16   1.208505e-17   
