beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.220000        30.86608        0.9314817      0.9314598     -0.004335882   -0.004324428     2.273276e-17   7.463418e-19    -1.406803e-16  -1.885327e-17   
1  0.218485        31.08013        0.9305536      0.9305343      -0.00434933   -0.004351058     -7.37992e-18   6.266231e-19    -3.452291e-17  -1.795563e-17   
2  0.216970        31.29717        0.9296067      0.9295899      -0.00437638   -0.004377997     8.167622e-18   5.134444e-19     4.953654e-17  -1.706914e-17   
3  0.215455        31.51726        0.9286405      0.9286261     -0.004403743   -0.004405251     1.420666e-17   4.069459e-19    -8.285876e-17  -1.619419e-17   
4  0.213939        31.74047        0.9276545      0.9276424     -0.004431422   -0.004432824    -2.890774e-17   3.072684e-19    -1.396105e-16  -1.533117e-17   
5  0.212424        31.96687        0.9266481      0.9266382     -0.004459422   -0.004460721    -4.839233e-17   2.145526e-19      1.03575e-16  -1.448048e-17   
6  0.210909        32.19652        0.9256207      0.9256129     -0.004487749   -0.004488947     1.894359e-17   1.289394e-19     1.797241e-16  -1.364254e-17   
7  0.209394        32.42949        0.9245719      0.9245661     -0.004516407   -0.004517507     3.437403e-17   5.056926e-20    -1.069724e-16  -1.281777e-17   
8  0.207879        32.66585         0.923501       0.923497     -0.004545402   -0.004546406    -3.185074e-17  -2.041791e-20    -6.637521e-17  -1.200657e-17   
9  0.206364        32.90569        0.9224073      0.9224051     -0.004574737   -0.004575649     3.507983e-18  -8.388299e-20     4.611191e-17  -1.120939e-17   
10  0.204848        33.14908        0.9212903      0.9212898      -0.00460442   -0.004605241    -9.927875e-18   -1.39688e-19     3.491813e-17  -1.042666e-17   
11  0.203333        33.39609        0.9201493      0.9201503     -0.004634454   -0.004635188     2.095865e-17  -1.876966e-19    -5.755862e-17  -9.658832e-18   
12  0.201818        33.64681        0.9189835       0.918986     -0.004664845   -0.004665495    -3.925399e-17  -2.277742e-19     -5.59136e-17   -8.90635e-18   
13  0.200303        33.90132        0.9177924      0.9177962     -0.004695599   -0.004696167    -6.592057e-18  -2.597885e-19     1.091816e-16  -8.169673e-18   
14  0.198788        34.15972         0.916575      0.9165801     -0.004726721    -0.00472721     1.667192e-17  -2.836101e-19      1.57917e-17  -7.449263e-18   
15  0.197273        34.42208        0.9153308       0.915337     -0.004758216   -0.004758629     1.336916e-18  -2.991125e-19    -7.853463e-18  -6.745589e-18   
16  0.195758        34.68851        0.9140589      0.9140661      -0.00479009   -0.004790431     1.272459e-17  -3.061734e-19     1.746943e-17  -6.059125e-18   
17  0.194242        34.95909        0.9127585      0.9127666     -0.004822348    -0.00482262     1.061306e-17  -3.046743e-19     3.963431e-19  -5.390349e-18   
18  0.192727        35.23392        0.9114286      0.9114376     -0.004854997   -0.004855203     1.297565e-17  -2.945021e-19    -1.496244e-17  -4.739741e-18   
19  0.191212        35.51311        0.9100686      0.9100782     -0.004888042   -0.004888184     2.220858e-18  -2.755491e-19     1.291036e-17  -4.107789e-18   
20  0.189697        35.79677        0.9086774      0.9086876     -0.004921488   -0.004921571     2.047152e-17  -2.477138e-19    -7.121612e-17   -3.49498e-18   
21  0.188182        36.08498        0.9072541      0.9072648     -0.004955342   -0.004955369    -3.912467e-17  -2.109021e-19    -2.442641e-17  -2.901804e-18   
22  0.186667        36.37788        0.9057977      0.9058088     -0.004989609   -0.004989583     7.130121e-18  -1.650275e-19     7.126967e-17  -2.328752e-18   
23  0.185152        36.67557        0.9043072      0.9043185     -0.005024296   -0.005024219     2.551018e-18  -1.100128e-19    -4.085126e-18  -1.776318e-18   
24  0.183636        36.97818        0.9027815      0.9027931     -0.005059407   -0.005059284     4.733335e-18  -4.579025e-20    -6.634037e-18  -1.244991e-18   
