beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.220000        30.86608        0.8924084      0.8923462     -0.006717618   -0.006703269    -1.025112e-17  -1.332882e-17      1.26864e-16   9.425325e-18   
1  0.218485        31.08013        0.8909705      0.8909157     -0.006737195   -0.006741831     1.690419e-17  -1.271478e-17     5.967565e-17   8.970559e-18   
2  0.216970        31.29717         0.889504      0.8894564     -0.006776544   -0.006780795     1.527362e-17  -1.210627e-17    -7.466216e-17   8.523022e-18   
3  0.215455        31.51726        0.8880082      0.8879674     -0.006816291   -0.006820165    -1.593806e-17   -1.15035e-17    -1.299645e-16   8.082926e-18   
4  0.213939        31.74047        0.8864823      0.8864481     -0.006856438   -0.006859946    -4.230305e-17  -1.090668e-17     8.346281e-18   7.650483e-18   
5  0.212424        31.96687        0.8849255      0.8848975      -0.00689699   -0.006900142    -1.178286e-17  -1.031602e-17    -1.627876e-18    7.22591e-18   
6  0.210909        32.19652        0.8833369      0.8833149     -0.006937951   -0.006940759    -4.348923e-17   -9.73174e-18    -4.800465e-18   6.809425e-18   
7  0.209394        32.42949        0.8817158      0.8816994     -0.006979326   -0.006981799    -1.356074e-17  -9.154057e-18     1.134211e-16   6.401248e-18   
8  0.207879        32.66585        0.8800612      0.8800502     -0.007021118   -0.007023267     9.692403e-18  -8.583196e-18     3.889451e-17   6.001604e-18   
9  0.206364        32.90569        0.8783722      0.8783663     -0.007063332   -0.007065168     4.754515e-18  -8.019382e-18    -5.782731e-17   5.610716e-18   
10  0.204848        33.14908        0.8766479      0.8766467     -0.007105971   -0.007107506    -1.838319e-17  -7.462845e-18    -3.385311e-17   5.228811e-18   
11  0.203333        33.39609        0.8748874      0.8748906     -0.007149039   -0.007150284    -1.162495e-17  -6.913819e-18     -1.85333e-17   4.856118e-18   
12  0.201818        33.64681        0.8730895      0.8730969      -0.00719254   -0.007193507    -2.777805e-17  -6.372539e-18    -3.559045e-17   4.492864e-18   
13  0.200303        33.90132        0.8712534      0.8712645     -0.007236478   -0.007237179    -2.949714e-17  -5.839244e-18     7.529287e-19    4.13928e-18   
14  0.198788        34.15972        0.8693778      0.8693925     -0.007280857   -0.007281303    -2.736274e-17  -5.314174e-18      1.04687e-16   3.795596e-18   
15  0.197273        34.42208        0.8674617      0.8674796     -0.007325679   -0.007325884     2.540216e-17  -4.797573e-18    -2.785603e-17   3.462043e-18   
16  0.195758        34.68851         0.865504      0.8655247     -0.007370949   -0.007370924     -4.30226e-17  -4.289685e-18     3.295069e-17   3.138851e-18   
17  0.194242        34.95909        0.8635034      0.8635267     -0.007416669   -0.007416428      4.43013e-17  -3.790757e-18     3.570098e-17   2.826248e-18   
18  0.192727        35.23392        0.8614587      0.8614842     -0.007462843   -0.007462398    -2.477182e-17  -3.301038e-18    -7.728614e-20   2.524463e-18   
19  0.191212        35.51311        0.8593687      0.8593962     -0.007509473   -0.007508837     4.535281e-17  -2.820775e-18     3.168854e-17   2.233721e-18   
20  0.189697        35.79677         0.857232      0.8572611     -0.007556563   -0.007555749     -7.91505e-18  -2.350219e-18    -8.043951e-17   1.954246e-18   
21  0.188182        36.08498        0.8550472      0.8550777     -0.007604114   -0.007603136      -1.5776e-19  -1.889618e-18     3.273692e-17   1.686258e-18   
22  0.186667        36.37788         0.852813      0.8528445     -0.007652129      -0.007651     1.113615e-17  -1.439221e-18    -9.374351e-17   1.429974e-18   
23  0.185152        36.67557        0.8505278      0.8505601     -0.007700611   -0.007699343    -5.615586e-17  -9.992751e-19     6.540886e-17   1.185605e-18   
24  0.183636        36.97818        0.8481902       0.848223     -0.007749559   -0.007748168     5.183251e-17  -5.700266e-19      9.96151e-17   9.533576e-19   
25  0.182121        37.28582        0.8457986      0.8458315     -0.007798977   -0.007797476     3.338252e-18  -1.517185e-19     -1.07271e-16   7.334309e-19   
26  0.180606        37.59862        0.8433513      0.8433841     -0.007848865   -0.007847268    -1.446269e-17   2.554091e-19    -6.406579e-17   5.260173e-19   
27  0.179091        37.91671        0.8408467      0.8408791     -0.007899223   -0.007897544    -3.711833e-17   6.511202e-19     5.902214e-17   3.313004e-19   
28  0.177576        38.24023        0.8382829      0.8383147     -0.007950052   -0.007948305     2.411377e-17   1.035184e-18      1.02921e-16    1.49454e-19   
29  0.176061        38.56932        0.8356582      0.8356892     -0.008001352    -0.00799955     2.956828e-17   1.407375e-18     5.822625e-17  -1.935912e-20   
30  0.174545        38.90412        0.8329707      0.8330005     -0.008053122    -0.00805128     6.300774e-17   1.767475e-18     -5.55417e-17  -1.749885e-19   
