beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.7600775      0.7600303       -0.0427546    -0.04269096     4.240651e-17   1.396346e-18    -2.262685e-16  -1.088556e-16   
1  0.646162        10.50904        0.7574242       0.757384      -0.04284376    -0.04286651     2.836473e-17   1.642288e-18    -4.217135e-16  -1.016773e-16   
2  0.642323        10.57184         0.754728      0.7546944      -0.04302252      -0.043043    -1.039266e-17   1.872778e-18    -1.969867e-16  -9.468606e-17   
3  0.638485        10.63539        0.7519881      0.7519606      -0.04320212    -0.04322042     3.791826e-18   2.087686e-18    -1.225172e-16  -8.788442e-17   
4  0.634646        10.69972        0.7492034      0.7491818      -0.04338255    -0.04339875    -2.632572e-17   2.286887e-18     -3.40423e-16  -8.127476e-17   
5  0.630808        10.76482         0.746373      0.7463569       -0.0435638    -0.04357798    -4.016907e-17   2.470266e-18     1.413079e-16  -7.485945e-17   
6  0.626970        10.83073         0.743496       0.743485      -0.04374585    -0.04375809    -7.530839e-18   2.637714e-18     4.449935e-16  -6.864081e-17   
7  0.623131        10.89744        0.7405714      0.7405651      -0.04392868    -0.04393908     1.880472e-17   2.789132e-18     2.612292e-17  -6.262107e-17   
8  0.619293        10.96499        0.7375981      0.7375962      -0.04411228    -0.04412091    -4.328482e-18   2.924432e-18    -3.086112e-17   -5.68024e-17   
9  0.615455        11.03337        0.7345752      0.7345773      -0.04429663    -0.04430357      1.48724e-17   3.043536e-18    -1.213576e-16  -5.118688e-17   
10  0.611616        11.10261        0.7315016      0.7315073       -0.0444817    -0.04448705    -2.137588e-17   3.146375e-18     1.771817e-16  -4.577651e-17   
11  0.607778        11.17273        0.7283761      0.7283851      -0.04466747    -0.04467131     4.017746e-17   3.232895e-18     4.470024e-16  -4.057319e-17   
12  0.603939        11.24374        0.7251977      0.7252096      -0.04485392    -0.04485634     4.132423e-17   3.303054e-18     2.807968e-17   -3.55787e-17   
13  0.600101        11.31566        0.7219652      0.7219797      -0.04504102    -0.04504211     4.420164e-17   3.356824e-18    -1.137628e-16  -3.079472e-17   
14  0.596263         11.3885        0.7186775      0.7186942      -0.04522874    -0.04522859     2.471343e-17    3.39419e-18    -4.257843e-16  -2.622281e-17   
15  0.592424        11.46229        0.7153332      0.7153519      -0.04541706    -0.04541575    -1.838086e-17   3.415155e-18    -3.802598e-16  -2.186438e-17   
16  0.588586        11.53704        0.7119313      0.7119516      -0.04560595    -0.04560356    -3.157318e-17   3.419738e-18    -1.989336e-17  -1.772071e-17   
17  0.584747        11.61277        0.7084703       0.708492      -0.04579536    -0.04579199    -2.122076e-17   3.407975e-18     4.426023e-16   -1.37929e-17   
18  0.580909         11.6895        0.7049491      0.7049718      -0.04598527      -0.045981     3.621346e-17   3.379923e-18     9.924772e-17  -1.008192e-17   
19  0.577071        11.76725        0.7013662      0.7013896      -0.04617564    -0.04617056    -6.551253e-18   3.335656e-18    -4.122778e-16  -6.588533e-18   
20  0.573232        11.84605        0.6977203      0.6977442      -0.04636642    -0.04636061    -2.818383e-17   3.275273e-18     -6.67526e-17  -3.313313e-18   
21  0.569394         11.9259          0.69401      0.6940341      -0.04655758    -0.04655113    -1.692082e-17   3.198893e-18    -1.023529e-16  -2.566333e-19   
22  0.565556        12.00684        0.6902339      0.6902579      -0.04674906    -0.04674206    -4.490565e-17   3.106659e-18    -1.685158e-17   2.581353e-18   
23  0.561717        12.08889        0.6863905      0.6864141      -0.04694083    -0.04693335    -1.930359e-17   2.998741e-18     7.033341e-16   5.200729e-18   
24  0.557879        12.17207        0.6824782      0.6825013      -0.04713282    -0.04712496     7.174228e-17   2.875335e-18    -2.585966e-17   7.601826e-18   
25  0.554040        12.25639        0.6784954      0.6785178      -0.04732499    -0.04731682     -2.49265e-17   2.736665e-18    -1.488884e-16   9.785243e-18   
26  0.550202         12.3419        0.6744407      0.6744621      -0.04751728    -0.04750889     4.762981e-17   2.582985e-18      -1.3697e-16   1.175186e-17   
27  0.546364        12.42861        0.6703124      0.6703325      -0.04770963    -0.04770109    -4.969817e-17   2.414581e-18    -1.698332e-16   1.350285e-17   
28  0.542525        12.51654        0.6661087      0.6661275      -0.04790196    -0.04789336     1.913919e-17   2.231773e-18      4.32882e-16   1.503973e-17   
29  0.538687        12.60572        0.6618279      0.6618452      -0.04809422    -0.04808563     2.653478e-17   2.034913e-18     2.092562e-18   1.636431e-17   
30  0.534848        12.69619        0.6574683      0.6574839      -0.04828634    -0.04827783     1.941165e-17   1.824392e-18    -1.110363e-16    1.74788e-17   
31  0.531010        12.78796        0.6530281      0.6530418      -0.04847823    -0.04846988     6.257289e-18   1.600641e-18    -3.431598e-16   1.838577e-17   
32  0.527172        12.88107        0.6485053      0.6485171      -0.04866981    -0.04866169    -4.430021e-17   1.364128e-18     7.516129e-17   1.908816e-17   
33  0.523333        12.97555        0.6438982      0.6439079        -0.048861    -0.04885318     2.120081e-17   1.115366e-18     1.719041e-16   1.958938e-17   
34  0.519495        13.07142        0.6392046      0.6392122      -0.04905172    -0.04904426    -1.230649e-17   8.549117e-19    -4.789283e-16   1.989324e-17   
35  0.515657        13.16872        0.6344226       0.634428      -0.04924185    -0.04923483    -7.149934e-17   5.833687e-19    -7.682773e-20   2.000404e-17   
36  0.511818        13.26748        0.6295502      0.6295533      -0.04943131    -0.04942477    -1.143383e-17   3.013889e-19     3.755451e-16   1.992654e-17   
37  0.507980        13.36773        0.6245851      0.6245859      -0.04961999    -0.04961399     2.890777e-18   9.674952e-21     8.045064e-18   1.966604e-17   
38  0.504141        13.46951        0.6195253      0.6195238      -0.04980776    -0.04980237    -1.001434e-17  -2.910175e-19     3.169655e-16   1.922835e-17   
39  0.500303        13.57285        0.6143685      0.6143647      -0.04999453    -0.04998978     6.859902e-17   -5.99878e-19      1.41535e-17   1.861986e-17   
40  0.496465        13.67779        0.6091125      0.6091064      -0.05018015    -0.05017609    -8.259459e-18  -9.160387e-19    -1.488967e-16   1.784754e-17   
41  0.492626        13.78436        0.6037548      0.6037464      -0.05036449    -0.05036118     3.806003e-17  -1.238573e-18    -7.111165e-17   1.691895e-17   
42  0.488788        13.89261         0.598293      0.5982825      -0.05054742    -0.05054488    -2.438214e-17  -1.566492e-18    -5.162247e-16    1.58423e-17   
43  0.484949        14.00257        0.5927248      0.5927122      -0.05072878    -0.05072705    -7.447989e-17  -1.898745e-18    -1.089257e-16   1.462645e-17   
44  0.481111        14.11428        0.5870476       0.587033      -0.05090843    -0.05090752    -4.791998e-17  -2.234215e-18     5.584703e-16   1.328096e-17   
45  0.477273        14.22779        0.5812587      0.5812423      -0.05108619    -0.05108614     5.187871e-17  -2.571717e-18     3.152836e-16   1.181606e-17   
46  0.473434        14.34315        0.5753556      0.5753375      -0.05126189    -0.05126271     2.319914e-17  -2.910001e-18    -1.580847e-16   1.024274e-17   
47  0.469596        14.46038        0.5693355      0.5693158      -0.05143534    -0.05143704     1.528049e-17  -3.247742e-18      6.50737e-17   8.572702e-18   
48  0.465758        14.57955        0.5631957      0.5631746      -0.05160636    -0.05160894     3.883938e-17  -3.583548e-18    -1.326337e-16   6.818434e-18   
49  0.461919        14.70071        0.5569333       0.556911      -0.05177473    -0.05177819    -1.724844e-17  -3.915951e-18    -6.605574e-17   4.993193e-18   
50  0.458081        14.82389        0.5505453      0.5505221      -0.05194024    -0.05194456     2.350567e-17  -4.243413e-18     8.853104e-17   3.111029e-18   
51  0.454242        14.94915        0.5440288      0.5440049      -0.05210265    -0.05210783     4.242137e-18  -4.564321e-18      1.51828e-17   1.186789e-18   
52  0.450404        15.07655        0.5373808      0.5373563      -0.05226174    -0.05226774     2.770252e-17   -4.87699e-18    -8.330713e-17  -7.638767e-19   
53  0.446566        15.20614        0.5305981      0.5305734      -0.05241724    -0.05242403    -1.775238e-17  -5.179661e-18    -2.400674e-16  -2.724517e-18   
54  0.442727        15.33797        0.5236776      0.5236529      -0.05256889    -0.05257643    -3.480791e-17  -5.470509e-18     5.590656e-17  -4.677889e-18   
55  0.438889        15.47211        0.5166159      0.5165915      -0.05271639    -0.05272463    -2.455326e-18  -5.747635e-18     1.351692e-16  -6.605973e-18   
56  0.435051        15.60862        0.5094098      0.5093859      -0.05285945    -0.05286833     1.524583e-18  -6.009081e-18    -1.184033e-17  -8.489997e-18   
57  0.431212        15.74756        0.5020558      0.5020328      -0.05299776    -0.05300721    -5.816329e-18  -6.252825e-18    -1.416981e-17  -1.031048e-17   
58  0.427374        15.88899        0.4945505      0.4945287      -0.05313098    -0.05314092    -2.351738e-18  -6.476791e-18    -1.158623e-17  -1.204726e-17   
59  0.423535        16.03299        0.4868904        0.48687      -0.05325875     -0.0532691    -9.215904e-18  -6.678857e-18    -5.557453e-16   -1.36796e-17   
60  0.419697        16.17962        0.4790718      0.4790532      -0.05338071    -0.05339137    -1.652056e-16  -6.856859e-18      1.03323e-16  -1.518621e-17   
61  0.415859        16.32896        0.4710911      0.4710746      -0.05349646    -0.05350732     2.452383e-17  -7.008609e-18     5.682568e-16  -1.654541e-17   
62  0.412020        16.48108        0.4629446      0.4629304      -0.05360559    -0.05361654     4.146588e-18  -7.131903e-18     2.935018e-17  -1.773519e-17   
63  0.408182        16.63606        0.4546286      0.4546169      -0.05370765    -0.05371857     3.400455e-17  -7.224538e-18     5.604933e-17  -1.873344e-17   
64  0.404343        16.79399        0.4461391      0.4461302       -0.0538022    -0.05381295      2.12828e-17   -7.28433e-18    -2.723165e-18  -1.951803e-17   
