beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698         0.908387      0.9083824      -0.01705909    -0.01701837    -3.751541e-18  -9.440751e-18     5.288737e-16   3.597547e-17   
1  0.646162        10.50904        0.9073284      0.9073244      -0.01710366    -0.01710701     2.906932e-17   -8.84969e-18    -3.152216e-16   3.364908e-17   
2  0.642323        10.57184        0.9062515      0.9062482      -0.01719322     -0.0171965    -4.373547e-17  -8.278813e-18    -3.279994e-16   3.138126e-17   
3  0.638485        10.63539        0.9051559      0.9051532      -0.01728364    -0.01728684    -1.174719e-17  -7.728301e-18     6.109798e-16   2.917285e-17   
4  0.634646        10.69972        0.9040412      0.9040391      -0.01737492    -0.01737804      3.44784e-17  -7.198328e-18    -2.579675e-17   2.702466e-17   
5  0.630808        10.76482         0.902907      0.9029054      -0.01746707    -0.01747011     -1.56688e-17  -6.689057e-18    -5.108484e-16    2.49375e-17   
6  0.626970        10.83073        0.9017528      0.9017517      -0.01756012    -0.01756306    -3.224104e-17  -6.200637e-18    -3.525231e-16   2.291216e-17   
7  0.623131        10.89744        0.9005782      0.9005775      -0.01765406    -0.01765691    -6.250211e-17  -5.733208e-18     1.771771e-16    2.09494e-17   
8  0.619293        10.96499        0.8993826      0.8993824       -0.0177489    -0.01775167    -7.931969e-18  -5.286895e-18     3.553275e-16   1.904999e-17   
9  0.615455        11.03337        0.8981656      0.8981657      -0.01784466    -0.01784734    -1.458469e-17  -4.861811e-18     1.051509e-16   1.721463e-17   
10  0.611616        11.10261        0.8969266      0.8969271      -0.01794136    -0.01794394      6.71352e-18  -4.458051e-18    -6.403832e-17   1.544405e-17   
11  0.607778        11.17273        0.8956652      0.8956661      -0.01803899    -0.01804147    -2.383417e-17  -4.075696e-18    -1.728478e-16   1.373891e-17   
12  0.603939        11.24374        0.8943808      0.8943819      -0.01813757    -0.01813995    -1.744574e-17  -3.714808e-18     3.894308e-16   1.209985e-17   
13  0.600101        11.31566        0.8930728      0.8930742      -0.01823711    -0.01823939     3.209792e-17   -3.37543e-18     -5.52894e-17    1.05275e-17   
14  0.596263         11.3885        0.8917407      0.8917423      -0.01833763    -0.01833981    -2.613855e-17  -3.057588e-18    -1.323554e-16   9.022434e-18   
15  0.592424        11.46229        0.8903839      0.8903857      -0.01843913     -0.0184412     1.332024e-17  -2.761284e-18      1.70536e-16    7.58519e-18   
16  0.588586        11.53704        0.8890018      0.8890037      -0.01854162    -0.01854359    -1.158144e-18  -2.486498e-18    -4.752104e-17   6.216269e-18   
17  0.584747        11.61277        0.8875937      0.8875958      -0.01864512    -0.01864698     6.312678e-18  -2.233186e-18     7.567435e-17   4.916125e-18   
18  0.580909         11.6895         0.886159      0.8861612      -0.01874964    -0.01875139      1.03564e-17  -2.001278e-18     2.849609e-16   3.685165e-18   
19  0.577071        11.76725        0.8846971      0.8846994      -0.01885519    -0.01885683     5.057184e-17  -1.790677e-18     1.461905e-16   2.523745e-18   
20  0.573232        11.84605        0.8832073      0.8832096      -0.01896178    -0.01896331     3.285569e-17  -1.601257e-18    -5.456701e-16   1.432163e-18   
21  0.569394         11.9259        0.8816888      0.8816911      -0.01906942    -0.01907084    -3.633966e-17  -1.432862e-18    -3.867641e-17   4.106575e-19   
22  0.565556        12.00684        0.8801409      0.8801433      -0.01917812    -0.01917943     2.753398e-17  -1.285302e-18      1.46993e-16  -5.405957e-19   
23  0.561717        12.08889        0.8785629      0.8785653       -0.0192879    -0.01928909     -1.30921e-17  -1.158353e-18    -3.364811e-16  -1.421491e-18   
24  0.557879        12.17207        0.8769541      0.8769563      -0.01939877    -0.01939984    -2.788089e-17  -1.051756e-18     1.149351e-16  -2.231995e-18   
25  0.554040        12.25639        0.8753135      0.8753157      -0.01951073    -0.01951169     6.497295e-18  -9.652114e-19      1.66992e-16  -2.972154e-18   
26  0.550202         12.3419        0.8736404      0.8736426       -0.0196238    -0.01962465     1.965829e-19  -8.983801e-19    -1.615278e-16  -3.642097e-18   
27  0.546364        12.42861         0.871934       0.871936      -0.01973799    -0.01973872    -2.142501e-17  -8.508798e-19     2.578311e-17  -4.242042e-18   
28  0.542525        12.51654        0.8701934      0.8701952      -0.01985332    -0.01985393     5.036891e-18  -8.222829e-19     5.013414e-17  -4.772303e-18   
29  0.538687        12.60572        0.8684175      0.8684193      -0.01996978    -0.01997028    -1.285959e-17  -8.121144e-19    -1.276307e-16  -5.233292e-18   
30  0.534848        12.69619        0.8666057      0.8666072       -0.0200874    -0.02008778    -1.779872e-17  -8.198488e-19     1.137797e-16   -5.62553e-18   
31  0.531010        12.78796        0.8647567      0.8647581      -0.02020618    -0.02020645     8.095807e-18  -8.449084e-19     2.176486e-16  -5.949651e-18   
32  0.527172        12.88107        0.8628698       0.862871      -0.02032614     -0.0203263     2.235486e-17    -8.8666e-19    -8.914854e-17  -6.206406e-18   
33  0.523333        12.97555        0.8609438      0.8609448      -0.02044729    -0.02044733    -8.958175e-18  -9.444124e-19     1.287482e-16  -6.396677e-18   
34  0.519495        13.07142        0.8589776      0.8589784      -0.02056962    -0.02056955     4.750434e-17  -1.017414e-18     1.284828e-16  -6.521475e-18   
35  0.515657        13.16872        0.8569702      0.8569708      -0.02069317    -0.02069299     1.520387e-17  -1.104849e-18    -3.910665e-16  -6.581955e-18   
36  0.511818        13.26748        0.8549204      0.8549208      -0.02081793    -0.02081764     -2.92538e-17  -1.205835e-18    -1.784016e-16  -6.579419e-18   
37  0.507980        13.36773        0.8528271      0.8528272      -0.02094391    -0.02094351    -1.989429e-17  -1.319422e-18    -1.713591e-16  -6.515327e-18   
38  0.504141        13.46951         0.850689      0.8506889      -0.02107113    -0.02107063    -6.427749e-17  -1.444586e-18     1.380909e-16  -6.391302e-18   
39  0.500303        13.57285         0.848505      0.8485046      -0.02119958    -0.02119898     9.327274e-18  -1.580229e-18     4.120176e-16  -6.209138e-18   
40  0.496465        13.67779        0.8462736       0.846273      -0.02132929    -0.02132859     2.105664e-17  -1.725173e-18    -1.290963e-16  -5.970813e-18   
41  0.492626        13.78436        0.8439935      0.8439927      -0.02146026    -0.02145947    -1.837184e-17  -1.878162e-18    -1.436435e-16   -5.67849e-18   
42  0.488788        13.89261        0.8416634      0.8416624      -0.02159249    -0.02159161    -9.421969e-18  -2.037853e-18    -1.134104e-17  -5.334531e-18   
43  0.484949        14.00257        0.8392817      0.8392805      -0.02172599    -0.02172502    -2.100764e-17  -2.202818e-18     3.514694e-16  -4.941504e-18   
44  0.481111        14.11428        0.8368471      0.8368457      -0.02186077    -0.02185972     6.929155e-17  -2.371539e-18      2.73566e-16   -4.50219e-18   
45  0.477273        14.22779         0.834358      0.8343564      -0.02199683    -0.02199571      3.96458e-17  -2.542407e-18    -4.030478e-16  -4.019593e-18   
46  0.473434        14.34315        0.8318127       0.831811      -0.02213418    -0.02213299    -2.321271e-17  -2.713719e-18    -3.547761e-16  -3.496945e-18   
47  0.469596        14.46038        0.8292097      0.8292078      -0.02227282    -0.02227156    -4.251312e-17  -2.883673e-18     1.744365e-16  -2.937718e-18   
48  0.465758        14.57955        0.8265471      0.8265451      -0.02241275    -0.02241143     1.868074e-17  -3.050373e-18     2.703563e-16  -2.345628e-18   
49  0.461919        14.70071        0.8238233      0.8238211      -0.02255397    -0.02255261      2.19777e-17  -3.211821e-18     1.398639e-16  -1.724643e-18   
50  0.458081        14.82389        0.8210363       0.821034      -0.02269649    -0.02269509      5.30827e-17   -3.36592e-18    -1.932771e-17  -1.078989e-18   
51  0.454242        14.94915        0.8181843      0.8181819      -0.02284031    -0.02283887     1.660993e-17  -3.510472e-18    -2.035032e-16  -4.131519e-19   
52  0.450404        15.07655        0.8152653      0.8152629      -0.02298541    -0.02298395     1.852552e-18  -3.643179e-18    -7.755687e-17   2.681125e-19   
53  0.446566        15.20614        0.8122772      0.8122748      -0.02313181    -0.02313033    -3.237273e-18  -3.761643e-18    -2.008643e-16    9.59781e-19   
54  0.442727        15.33797        0.8092179      0.8092155      -0.02327949      -0.023278    -5.102111e-17  -3.863372e-18    -1.525898e-16    1.65656e-18   
55  0.438889        15.47211        0.8060853      0.8060828      -0.02342844    -0.02342695    -4.333857e-17  -3.945776e-18    -8.293788e-17   2.352888e-18   
56  0.435051        15.60862        0.8028769      0.8028745      -0.02357866    -0.02357719    -7.380005e-17  -4.006178e-18     1.250643e-16   3.042937e-18   
57  0.431212        15.74756        0.7995904      0.7995881      -0.02373014    -0.02372869    -8.043838e-18  -4.041819e-18     3.329734e-16   3.720621e-18   
58  0.427374        15.88899        0.7962234      0.7962212      -0.02388287    -0.02388145      1.92063e-17  -4.049861e-18     5.495101e-17   4.379603e-18   
59  0.423535        16.03299        0.7927733      0.7927712      -0.02403682    -0.02403545     7.287863e-18  -4.027402e-18    -1.778388e-17   5.013314e-18   
60  0.419697        16.17962        0.7892374      0.7892355      -0.02419198    -0.02419068     1.420895e-17  -3.971487e-18    -9.245629e-17   5.614962e-18   
61  0.415859        16.32896         0.785613      0.7856113      -0.02434834    -0.02434711    -2.045442e-17  -3.879121e-18    -1.318947e-16   6.177566e-18   
62  0.412020        16.48108        0.7818972      0.7818957      -0.02450586    -0.02450472    -2.527302e-17  -3.747288e-18     1.986516e-17   6.693979e-18   
63  0.408182        16.63606         0.778087      0.7780857      -0.02466452    -0.02466348    -1.420633e-17  -3.572972e-18     1.855912e-17   7.156925e-18   
64  0.404343        16.79399        0.7741793      0.7741783       -0.0248243    -0.02482337    -1.962127e-17  -3.353185e-18     8.675206e-18   7.559049e-18   
65  0.400505        16.95494        0.7701709      0.7701702      -0.02498515    -0.02498435    -1.130997e-17  -3.084995e-18    -1.195118e-16   7.892968e-18   
66  0.396667          17.119        0.7660584      0.7660581      -0.02514704    -0.02514639    -5.899779e-17  -2.765565e-18     1.300286e-16   8.151342e-18   
67  0.392828        17.28628        0.7618384      0.7618384      -0.02530993    -0.02530943     3.312234e-17  -2.392193e-18     2.039011e-16   8.326949e-18   
68  0.388990        17.45685        0.7575073      0.7575076      -0.02547377    -0.02547344     8.744454e-18  -1.962362e-18    -1.186602e-16   8.412784e-18   
69  0.385152        17.63082        0.7530612      0.7530619      -0.02563851    -0.02563836    -7.679174e-18  -1.473801e-18    -3.888985e-17    8.40217e-18   
70  0.381313         17.8083        0.7484964      0.7484974      -0.02580408    -0.02580412    -4.728913e-18  -9.245515e-19     3.400163e-17   8.288894e-18   
71  0.377475        17.98938        0.7438086        0.74381      -0.02597043    -0.02597068     4.575209e-18  -3.130462e-19     1.142547e-16   8.067358e-18   
72  0.373636        18.17419        0.7389937      0.7389954      -0.02613748    -0.02613795     3.730977e-17   3.617973e-19    -7.470092e-18   7.732769e-18   
73  0.369798        18.36283        0.7340473      0.7340493      -0.02630516    -0.02630585     1.077311e-18   1.100471e-18    -1.081372e-16    7.28135e-18   
74  0.365960        18.55543        0.7289647      0.7289671      -0.02647339    -0.02647431     -3.58448e-18   1.902751e-18     5.982696e-18   6.710594e-18   
75  0.362121        18.75211        0.7237413      0.7237439      -0.02664206    -0.02664321      3.52952e-18   2.767556e-18     1.767777e-16   6.019552e-18   
76  0.358283        18.95301        0.7183721      0.7183749      -0.02681108    -0.02681247     6.729119e-17   3.692781e-18    -1.382992e-16   5.209181e-18   
77  0.354444        19.15826        0.7128518      0.7128548      -0.02698033    -0.02698195    -5.462266e-17   4.675106e-18    -1.123355e-16   4.282734e-18   
78  0.350606          19.368        0.7071751      0.7071782      -0.02714969    -0.02715154      2.28377e-17   5.709773e-18     1.386185e-16    3.24622e-18   
79  0.346768        19.58238        0.7013365      0.7013396      -0.02731903    -0.02732109     3.098012e-18   6.790336e-18     4.414933e-17   2.108943e-18   
80  0.342929        19.80157          0.69533      0.6953331      -0.02748819    -0.02749045     4.263327e-17   7.908362e-18     -6.61145e-17    8.84115e-19   
81  0.339091        20.02571        0.6891497      0.6891526      -0.02765703    -0.02765946     -2.74357e-17   9.053094e-18    -6.591386e-17  -4.104245e-19   
82  0.335253        20.25499        0.6827892      0.6827919      -0.02782537    -0.02782793      1.40124e-17   1.021106e-17     2.126742e-16  -1.751378e-18   
83  0.331414        20.48958        0.6762419      0.6762443      -0.02799301    -0.02799566     7.138668e-17   1.136563e-17     2.379235e-17  -3.109029e-18   
84  0.327576        20.72967        0.6695011       0.669503      -0.02815975    -0.02816244     2.409233e-17   1.249647e-17    -1.767917e-16  -4.446128e-18   
85  0.323737        20.97545        0.6625595      0.6625609      -0.02832537    -0.02832803    -1.439586e-17   1.357897e-17    -1.104001e-16  -5.716603e-18   
86  0.319899        21.22713        0.6554099      0.6554106      -0.02848962    -0.02849216    -3.055483e-17   1.458356e-17     1.214496e-16  -6.864068e-18   
87  0.316061        21.48492        0.6480444      0.6480444      -0.02865224    -0.02865456      4.86141e-17   1.547487e-17     4.024039e-17  -7.820095e-18   
88  0.312222        21.74905        0.6404551      0.6404543      -0.02881292    -0.02881491    -1.124397e-17   1.621083e-17    -5.500076e-18  -8.502207e-18   
89  0.308384        22.01976        0.6326337      0.6326321      -0.02897137    -0.02897287     4.712637e-17   1.674164e-17     6.934815e-17  -8.811566e-18   
90  0.304545        22.29729        0.6245715       0.624569      -0.02912724    -0.02912807     2.577696e-17   1.700847e-17    -5.010261e-17  -8.630278e-18   
91  0.300707         22.5819        0.6162594      0.6162562      -0.02928016    -0.02928011     1.915156e-17   1.694211e-17     3.303922e-17  -7.818275e-18   
92  0.296869        22.87388        0.6076883      0.6076844      -0.02942972    -0.02942855     4.524149e-17   1.646126e-17    -4.068399e-17  -6.209699e-18   
93  0.293030         23.1735        0.5988483       0.598844      -0.02957548    -0.02957291    -5.911688e-18   1.547067e-17    -8.261739e-17  -3.608702e-18   
