beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.7953719      0.7953395      -0.03685982      -0.036798    -3.801559e-17  -1.268917e-17     5.025166e-16   7.713102e-17   
1  0.646162        10.50904        0.7930844      0.7930569      -0.03694146    -0.03695907    -6.830392e-18  -1.259107e-17     1.314413e-16    7.31279e-17   
2  0.642323        10.57184        0.7907594      0.7907363      -0.03710525     -0.0371212    -2.187934e-17  -1.249672e-17    -1.296293e-16   6.919618e-17   
3  0.638485        10.63539         0.788396      0.7883771      -0.03727003    -0.03728438    -2.312658e-17  -1.240606e-17     2.793224e-16   6.533733e-17   
4  0.634646        10.69972        0.7859933      0.7859785      -0.03743581    -0.03744862     1.406977e-17    -1.2319e-17     3.141821e-16   6.155284e-17   
5  0.630808        10.76482        0.7835506      0.7835395      -0.03760258    -0.03761391     1.733126e-17  -1.223546e-17     9.532051e-17   5.784421e-17   
6  0.626970        10.83073        0.7810669      0.7810593      -0.03777033    -0.03778024     2.659376e-17  -1.215534e-17    -4.361195e-17   5.421294e-17   
7  0.623131        10.89744        0.7785414      0.7785371      -0.03793906    -0.03794761     1.139797e-17  -1.207854e-17    -5.519081e-16   5.066053e-17   
8  0.619293        10.96499        0.7759732      0.7759718      -0.03810876    -0.03811601    -4.777233e-17  -1.200495e-17    -4.998555e-16   4.718848e-17   
9  0.615455        11.03337        0.7733613      0.7733627      -0.03827943    -0.03828544    -5.622916e-17  -1.193444e-17     1.617867e-16   4.379829e-17   
10  0.611616        11.10261        0.7707048      0.7707086      -0.03845105    -0.03845588    -2.526091e-17  -1.186688e-17     3.047103e-16   4.049146e-17   
11  0.607778        11.17273        0.7680027      0.7680088      -0.03862362    -0.03862734    -1.388903e-17  -1.180213e-17     4.431401e-17   3.726949e-17   
12  0.603939        11.24374        0.7652539       0.765262      -0.03879713    -0.03879979    -1.911205e-17  -1.174004e-17    -8.032217e-16   3.413386e-17   
13  0.600101        11.31566        0.7624575      0.7624673      -0.03897156    -0.03897322    -1.293537e-16  -1.168044e-17      1.44371e-16   3.108604e-17   
14  0.596263         11.3885        0.7596123      0.7596237       -0.0391469    -0.03914763     3.340257e-18  -1.162315e-17     6.872324e-16    2.81275e-17   
15  0.592424        11.46229        0.7567172        0.75673      -0.03932314      -0.039323    -2.965498e-17  -1.156799e-17     2.998571e-16   2.525969e-17   
16  0.588586        11.53704        0.7537712      0.7537852      -0.03950026    -0.03949932     4.859912e-17  -1.151476e-17     3.024505e-16   2.248404e-17   
17  0.584747        11.61277        0.7507731      0.7507879      -0.03967824    -0.03967656      1.51275e-17  -1.146323e-17    -4.051249e-16   1.980195e-17   
18  0.580909         11.6895        0.7477217      0.7477372      -0.03985708    -0.03985471    -1.313058e-17  -1.141319e-17     1.198108e-16   1.721482e-17   
19  0.577071        11.76725        0.7446157      0.7446318      -0.04003675    -0.04003376     3.413465e-17  -1.136439e-17     3.242442e-16     1.4724e-17   
20  0.573232        11.84605         0.741454      0.7414703      -0.04021722    -0.04021367      3.73334e-17  -1.131657e-17    -3.357048e-16   1.233081e-17   
21  0.569394         11.9259        0.7382351      0.7382517      -0.04039848    -0.04039443    -1.952475e-17  -1.126946e-17    -3.728748e-16   1.003653e-17   
22  0.565556        12.00684        0.7349579      0.7349744      -0.04058049    -0.04057601    -2.225597e-17  -1.122278e-17     1.096812e-16   7.842427e-18   
23  0.561717        12.08889         0.731621      0.7316372      -0.04076325    -0.04075838    -1.489522e-18   -1.11762e-17     1.245392e-17   5.749689e-18   
24  0.557879        12.17207        0.7282229      0.7282387       -0.0409467    -0.04094152    -2.047001e-17  -1.112941e-17    -2.415074e-17   3.759469e-18   
25  0.554040        12.25639        0.7247622      0.7247775      -0.04113084     -0.0411254    -5.299692e-18  -1.108208e-17     2.180233e-16   1.872862e-18   
26  0.550202         12.3419        0.7212374      0.7212521      -0.04131561    -0.04130997     1.660228e-17  -1.103383e-17    -1.830305e-16   9.090084e-20   
27  0.546364        12.42861        0.7176471      0.7176609        -0.041501    -0.04149521    -3.734707e-17  -1.098429e-17    -7.169846e-17   -1.58545e-18   
