beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.7332742      0.7332137      -0.04713613    -0.04707224     1.679934e-18   1.471977e-17     1.399337e-17   1.900672e-17   
1  0.646162        10.50904         0.730349      0.7302975       -0.0472297    -0.04725621     2.548335e-18   1.317539e-17    -4.024904e-16   1.639517e-17   
2  0.642323        10.57184        0.7273771      0.7273341      -0.04741717    -0.04744097    -4.888303e-17   1.167023e-17     1.784638e-16   1.388538e-17   
3  0.638485        10.63539        0.7243576      0.7243225      -0.04760531    -0.04762649     2.585117e-17   1.020492e-17      1.15831e-16   1.147824e-17   
4  0.634646        10.69972        0.7212894      0.7212618       -0.0477941    -0.04781276     -3.48857e-17   8.780077e-18    -1.984405e-16   9.174624e-18   
5  0.630808        10.76482        0.7181715      0.7181509       -0.0479835    -0.04799975     7.508395e-19   7.396336e-18     2.890093e-16   6.975346e-18   
6  0.626970        10.83073         0.715003      0.7149889       -0.0481735    -0.04818744     2.771438e-18    6.05431e-18     -8.43708e-17   4.881163e-18   
7  0.623131        10.89744        0.7117827      0.7117747      -0.04836407    -0.04837579    -1.053173e-17   4.754607e-18    -1.970708e-17   2.892775e-18   
8  0.619293        10.96499        0.7085096      0.7085072      -0.04855517    -0.04856479     2.742144e-19    3.49783e-18     1.568728e-17    1.01082e-18   
9  0.615455        11.03337        0.7051826      0.7051853      -0.04874679     -0.0487544    -8.520964e-18   2.284568e-18     2.355623e-16  -7.641361e-19   
10  0.611616        11.10261        0.7018006      0.7018079      -0.04893888    -0.04894458     3.300682e-17   1.115401e-18     1.758653e-16  -2.431597e-18   
11  0.607778        11.17273        0.6983624      0.6983739       -0.0491314    -0.04913532      1.56171e-17  -9.105291e-21    -1.129662e-16  -3.991147e-18   
12  0.603939        11.24374        0.6948668       0.694882      -0.04932434    -0.04932656     1.718459e-17  -1.088399e-18     1.490028e-16  -5.442453e-18   
13  0.600101        11.31566        0.6913125      0.6913311      -0.04951763    -0.04951826     3.702889e-17  -2.121943e-18     4.800789e-18  -6.785273e-18   
14  0.596263         11.3885        0.6876984        0.68772      -0.04971125     -0.0497104     1.762851e-17  -3.109219e-18    -3.464012e-16   -8.01946e-18   
15  0.592424        11.46229        0.6840232      0.6840472      -0.04990515    -0.04990293     -1.38398e-17  -4.049729e-18     1.902788e-16  -9.144968e-18   
16  0.588586        11.53704        0.6802856      0.6803117      -0.05009929    -0.05009579     4.648555e-17  -4.942994e-18     4.916362e-18  -1.016186e-17   
17  0.584747        11.61277        0.6764841      0.6765119      -0.05029361    -0.05028895    -1.388713e-17  -5.788561e-18    -4.930442e-16  -1.107032e-17   
18  0.580909         11.6895        0.6726176      0.6726466      -0.05048807    -0.05048234    -2.838108e-17     -6.586e-18      2.45335e-16  -1.187064e-17   
19  0.577071        11.76725        0.6686844      0.6687144       -0.0506826    -0.05067592     2.445659e-17  -7.334913e-18     1.080683e-16  -1.256326e-17   
20  0.573232        11.84605        0.6646833      0.6647138      -0.05087716    -0.05086963    -1.205842e-17  -8.034927e-18    -4.909759e-16  -1.314875e-17   
21  0.569394         11.9259        0.6606126      0.6606434      -0.05107168     -0.0510634    -5.346612e-17  -8.685707e-18     8.675217e-17  -1.362782e-17   
22  0.565556        12.00684         0.656471      0.6565017       -0.0512661    -0.05125717     2.547123e-18   -9.28695e-18     7.932352e-16  -1.400134e-17   
23  0.561717        12.08889        0.6522568      0.6522871      -0.05146035    -0.05145088     7.593258e-17  -9.838394e-18     2.064587e-16  -1.427036e-17   
24  0.557879        12.17207        0.6479685      0.6479981      -0.05165436    -0.05164444     3.588188e-17  -1.033982e-17     -4.54241e-16  -1.443606e-17   
25  0.554040        12.25639        0.6436045       0.643633      -0.05184805    -0.05183779    -1.228529e-19  -1.079104e-17    -1.799206e-16  -1.449986e-17   
26  0.550202         12.3419        0.6391629      0.6391902      -0.05204135    -0.05203085      5.61619e-18  -1.119194e-17     7.483852e-17  -1.446331e-17   
27  0.546364        12.42861        0.6346423       0.634668      -0.05223417    -0.05222352     1.277439e-17  -1.154243e-17    -4.233849e-16  -1.432821e-17   
28  0.542525        12.51654        0.6300407      0.6300647      -0.05242642    -0.05241572    -6.894393e-17   -1.18425e-17    -1.139357e-17  -1.409655e-17   
29  0.538687        12.60572        0.6253565      0.6253784      -0.05261801    -0.05260736     1.190666e-17  -1.209218e-17     4.984449e-16  -1.377056e-17   
30  0.534848        12.69619        0.6205877      0.6206075      -0.05280885    -0.05279833     2.008025e-17  -1.229157e-17    -3.798735e-16  -1.335267e-17   
31  0.531010        12.78796        0.6157325      0.6157499      -0.05299882    -0.05298852    -5.793643e-17  -1.244084e-17    -2.944395e-16   -1.28456e-17   
32  0.527172        12.88107        0.6107889      0.6108038      -0.05318783    -0.05317784    -3.361435e-17  -1.254023e-17     1.551424e-16  -1.225229e-17   
33  0.523333        12.97555         0.605755      0.6057673      -0.05337575    -0.05336615     -2.89787e-17  -1.259006e-17     9.362807e-17  -1.157598e-17   
34  0.519495        13.07142        0.6006288      0.6006383      -0.05356247    -0.05355334    -1.573019e-17  -1.259072e-17    -7.349017e-18  -1.082016e-17   
35  0.515657        13.16872        0.5954081      0.5954149      -0.05374786    -0.05373928    -3.060605e-17   -1.25427e-17     2.507781e-16  -9.988634e-18   
36  0.511818        13.26748        0.5900909      0.5900948      -0.05393178    -0.05392383     3.402609e-17  -1.244657e-17     1.262427e-16  -9.085509e-18   
37  0.507980        13.36773         0.584675      0.5846759      -0.05411409    -0.05410683     -6.27078e-18  -1.230301e-17    -3.021034e-16  -8.115204e-18   
38  0.504141        13.46951        0.5791582      0.5791561      -0.05429466    -0.05428815    -2.685523e-17   -1.21128e-17     4.955484e-17   -7.08247e-18   
39  0.500303        13.57285        0.5735381      0.5735331      -0.05447331    -0.05446762     4.287034e-18  -1.187681e-17     5.421612e-18  -5.992399e-18   
40  0.496465        13.67779        0.5678125      0.5678045      -0.05464988    -0.05464507    -2.619892e-17  -1.159606e-17    -1.383563e-16  -4.850435e-18   
41  0.492626        13.78436        0.5619789      0.5619681      -0.05482421    -0.05482032    -2.472795e-17  -1.127166e-17     7.825061e-17  -3.662389e-18   
42  0.488788        13.89261         0.556035      0.5560215       -0.0549961    -0.05499318    -9.281281e-18  -1.090487e-17     9.751997e-17  -2.434445e-18   
43  0.484949        14.00257        0.5499782       0.549962      -0.05516538    -0.05516346     -3.52583e-18  -1.049707e-17    -2.492964e-16  -1.173172e-18   
44  0.481111        14.11428        0.5438061      0.5437874      -0.05533182    -0.05533095     -6.50733e-17  -1.004978e-17     1.906184e-17   1.144654e-19   
45  0.477273        14.22779        0.5375159      0.5374948      -0.05549523    -0.05549543     1.791623e-18  -9.564674e-18      1.50384e-16   1.421103e-18   
46  0.473434        14.34315        0.5311051      0.5310818      -0.05565538    -0.05565666    -3.146324e-17  -9.043591e-18    -1.507162e-16   2.738967e-18   
47  0.469596        14.46038        0.5245708      0.5245456      -0.05581203     -0.0558144    -3.300407e-17  -8.488517e-18     1.487299e-16   4.059869e-18   
48  0.465758        14.57955        0.5179105      0.5178835      -0.05596493     -0.0559684     4.010547e-18  -7.901614e-18     1.324314e-16   5.375208e-18   
49  0.461919        14.70071        0.5111211      0.5110926      -0.05611382    -0.05611839    -1.530868e-18  -7.285217e-18     4.022582e-17   6.675964e-18   
50  0.458081        14.82389        0.5041999      0.5041702      -0.05625843    -0.05626408     1.401354e-17  -6.641847e-18    -7.917407e-17   7.952707e-18   
51  0.454242        14.94915        0.4971439      0.4971133      -0.05639847    -0.05640517    -2.162873e-17  -5.974212e-18    -4.062583e-16   9.195596e-18   
52  0.450404        15.07655        0.4899501      0.4899188      -0.05653362    -0.05654136    -8.889195e-17  -5.285218e-18     9.449586e-17    1.03944e-17   
53  0.446566        15.20614        0.4826154      0.4825839      -0.05666358     -0.0566723     4.018639e-18   -4.57797e-18     1.838087e-16   1.153849e-17   
54  0.442727        15.33797        0.4751368      0.4751053        -0.056788    -0.05679765    -4.203811e-17  -3.855784e-18     1.349382e-16    1.26169e-17   
55  0.438889        15.47211         0.467511      0.4674799      -0.05690653    -0.05691704     4.102573e-17  -3.122185e-18     1.181685e-18   1.361832e-17   
56  0.435051        15.60862        0.4597349      0.4597046      -0.05701879    -0.05703009    -4.318121e-17  -2.380914e-18    -9.177251e-17   1.453113e-17   
57  0.431212        15.74756        0.4518053      0.4517761      -0.05712438    -0.05713639     1.702341e-17  -1.635931e-18     1.802801e-16   1.534347e-17   
58  0.427374        15.88899        0.4437187       0.443691       -0.0572229    -0.05723552     6.732833e-18  -8.914168e-19     -3.43654e-17   1.604327e-17   
59  0.423535        16.03299        0.4354719      0.4354461       -0.0573139    -0.05732702     7.312867e-18  -1.517698e-19     9.071028e-18   1.661833e-17   
60  0.419697        16.17962        0.4270615       0.427038      -0.05739693    -0.05741042     9.382419e-18   5.783923e-19    -1.335539e-16   1.705637e-17   
