beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.300000        22.63513        0.7765996       0.776598      -0.01819963    -0.01817881      6.78055e-18  -2.329887e-18     1.443876e-16   8.593927e-18   
1  0.298788        22.72695        0.7749284      0.7749271       -0.0182243    -0.01822779      2.00391e-17  -2.414717e-18     6.931107e-17   6.771972e-18   
2  0.297576        22.81953         0.773239       0.773238       -0.0182737    -0.01827691     1.950536e-17  -2.490031e-18    -1.415005e-16    5.07555e-18   
3  0.296364        22.91286        0.7715312      0.7715305      -0.01832322    -0.01832617    -6.369405e-18  -2.555905e-18    -1.204899e-16   3.502731e-18   
4  0.295152        23.00696        0.7698047      0.7698042      -0.01837286    -0.01837556    -2.957819e-18   -2.61242e-18    -5.842146e-17   2.051493e-18   
5  0.293939        23.10183        0.7680592      0.7680589      -0.01842262    -0.01842507     -1.74829e-17   -2.65966e-18    -4.328592e-16   7.197165e-19   
6  0.292727        23.19749        0.7662945      0.7662944      -0.01847249    -0.01847472    -8.565194e-17  -2.697717e-18     1.223301e-16   -4.94816e-19   
7  0.291515        23.29394        0.7645103      0.7645104      -0.01852248    -0.01852448     6.682765e-18  -2.726686e-18     3.585698e-16  -1.594421e-18   
8  0.290303        23.39121        0.7627064      0.7627066      -0.01857258    -0.01857437    -1.667348e-17  -2.746668e-18    -1.975618e-16  -2.581516e-18   
9  0.289091        23.48928        0.7608824      0.7608828      -0.01862279    -0.01862437    -3.187366e-17  -2.757767e-18      2.02586e-16  -3.458621e-18   
10  0.287879        23.58818        0.7590381      0.7590385       -0.0186731    -0.01867448     2.352694e-17  -2.760097e-18     1.998496e-16  -4.228362e-18   
11  0.286667        23.68792        0.7571731      0.7571737      -0.01872351    -0.01872471     7.523288e-18  -2.753771e-18    -1.126703e-17  -4.893467e-18   
12  0.285455        23.78851        0.7552873      0.7552879      -0.01877401    -0.01877504     2.139625e-17  -2.738913e-18    -1.088524e-17  -5.456773e-18   
13  0.284242        23.88995        0.7533802      0.7533809      -0.01882461    -0.01882547     5.196494e-18  -2.715649e-18    -8.513725e-17  -5.921222e-18   
14  0.283030        23.99226        0.7514516      0.7514524       -0.0188753      -0.018876     4.113805e-18  -2.684111e-18    -8.455748e-17  -6.289868e-18   
15  0.281818        24.09546        0.7495012       0.749502      -0.01892607    -0.01892663    -1.224559e-17  -2.644437e-18    -6.443162e-17  -6.565871e-18   
16  0.280606        24.19954        0.7475287      0.7475294      -0.01897692    -0.01897734    -9.157468e-18   -2.59677e-18     5.747227e-18  -6.752502e-18   
17  0.279394        24.30453        0.7455337      0.7455344      -0.01902785    -0.01902814    -1.106562e-17  -2.541258e-18     2.180933e-17  -6.853144e-18   
18  0.278182        24.41043        0.7435159      0.7435166      -0.01907884    -0.01907902    -4.521533e-18  -2.478055e-18    -5.627645e-17  -6.871289e-18   
19  0.276970        24.51726         0.741475      0.7414757      -0.01912991    -0.01912998    -2.314681e-17   -2.40732e-18     1.648937e-16  -6.810539e-18   
20  0.275758        24.62503        0.7394106      0.7394113      -0.01918104      -0.019181     3.118279e-17  -2.329219e-18     4.070799e-16   -6.67461e-18   
21  0.274545        24.73375        0.7373225      0.7373232      -0.01923222    -0.01923209     6.488872e-17  -2.243919e-18    -4.384821e-16  -6.467326e-18   
22  0.273333        24.84343        0.7352102      0.7352108      -0.01928345    -0.01928324    -6.530512e-17  -2.151597e-18    -3.617719e-16  -6.192619e-18   
23  0.272121        24.95409        0.7330735       0.733074      -0.01933473    -0.01933444    -1.401962e-17  -2.052432e-18     4.123181e-16  -5.854535e-18   
24  0.270909        25.06574        0.7309119      0.7309123      -0.01938605     -0.0193857     2.630776e-17  -1.946608e-18     5.253318e-17  -5.457222e-18   
25  0.269697         25.1784         0.728725      0.7287254       -0.0194374    -0.01943699    -2.545856e-18  -1.834317e-18    -1.934649e-16  -5.004936e-18   
26  0.268485        25.29207        0.7265126       0.726513      -0.01948878    -0.01948832    -1.741488e-17   -1.71575e-18     4.433873e-17  -4.502039e-18   
27  0.267273        25.40677        0.7242742      0.7242745      -0.01954018    -0.01953967     7.760605e-18  -1.591108e-18     1.263611e-16   -3.95299e-18   
28  0.266061        25.52252        0.7220095      0.7220097       -0.0195916    -0.01959105     1.160792e-17  -1.460593e-18    -7.605303e-17  -3.362349e-18   
29  0.264848        25.63933        0.7197181      0.7197182      -0.01964302    -0.01964244     -1.00418e-17  -1.324412e-18     2.722249e-16  -2.734772e-18   
30  0.263636        25.75721        0.7173995      0.7173995      -0.01969445    -0.01969384     7.598782e-17  -1.182775e-18      1.93055e-16  -2.075004e-18   
31  0.262424        25.87618        0.7150533      0.7150533      -0.01974586    -0.01974524     3.509934e-17  -1.035897e-18    -2.773616e-16  -1.387877e-18   
32  0.261212        25.99626        0.7126793      0.7126792      -0.01979726    -0.01979663     9.758848e-18  -8.839929e-19      -2.1765e-16  -6.783069e-19   
33  0.260000        26.11745        0.7102768      0.7102767      -0.01984864      -0.019848    -1.742042e-17  -7.272831e-19    -1.516197e-16   4.871796e-20   
34  0.258788        26.23978        0.7078456      0.7078454      -0.01989998    -0.01989934    -2.708181e-17  -5.659886e-19     1.560478e-16   7.881383e-19   
35  0.257576        26.36326        0.7053852      0.7053849      -0.01995129    -0.01995065      2.12085e-17  -4.003325e-19    -9.601155e-17   1.534834e-18   
36  0.256364        26.48791        0.7028951      0.7028947      -0.02000254    -0.02000192    -5.147394e-17  -2.305387e-19    -1.111854e-16   2.283629e-18   
37  0.255152        26.61375        0.7003749      0.7003744      -0.02005374    -0.02005313    -6.082594e-18  -5.683149e-20     1.385788e-16   3.029307e-18   
38  0.253939        26.74078        0.6978241      0.6978236      -0.02010487    -0.02010428    -1.669866e-17    1.20565e-19     5.655058e-17   3.766615e-18   
39  0.252727        26.86903        0.6952423      0.6952417      -0.02015592    -0.02015535     8.524818e-18   3.014277e-19    -9.841409e-17   4.490275e-18   
40  0.251515        26.99852         0.692629      0.6926284      -0.02020688    -0.02020634    -4.242892e-17   4.855355e-19     -1.70474e-16   5.195003e-18   
41  0.250303        27.12927        0.6899838      0.6899831      -0.02025774    -0.02025724     -3.55584e-17   6.726701e-19      2.11229e-16   5.875515e-18   
42  0.249091        27.26128        0.6873061      0.6873054      -0.02030849    -0.02030802     1.327539e-17   8.626166e-19     4.466726e-17   6.526545e-18   
43  0.247879        27.39459        0.6845954      0.6845947      -0.02035912    -0.02035869    -2.412707e-17   1.055165e-18      1.35014e-16   7.142864e-18   
44  0.246667        27.52921        0.6818513      0.6818506      -0.02040961    -0.02040923     4.999337e-17   1.250113e-18      1.42791e-16   7.719294e-18   
45  0.245455        27.66515        0.6790733      0.6790726      -0.02045996    -0.02045962      1.39648e-17   1.447262e-18    -1.453471e-17   8.250728e-18   
46  0.244242        27.80245        0.6762608      0.6762601      -0.02051015    -0.02050985     4.635986e-17   1.646426e-18     4.388057e-18   8.732158e-18   
47  0.243030        27.94112        0.6734132      0.6734125      -0.02056016    -0.02055991      1.48586e-17   1.847427e-18     -3.29135e-16   9.158689e-18   
48  0.241818        28.08117        0.6705302      0.6705295      -0.02060999    -0.02060979    -4.551882e-17   2.050098e-18    -6.963344e-17   9.525572e-18   
49  0.240606        28.22264         0.667611      0.6676104      -0.02065961    -0.02065946    -4.234713e-18   2.254289e-18     9.350201e-17   9.828229e-18   
50  0.239394        28.36554        0.6646552      0.6646546      -0.02070902    -0.02070892    -1.921412e-17   2.459864e-18    -8.379679e-17   1.006228e-17   
51  0.238182        28.50989        0.6616623      0.6616616       -0.0207582    -0.02075815    -2.827504e-17   2.666702e-18    -1.748788e-16    1.02236e-17   
52  0.236970        28.65572        0.6586315      0.6586309      -0.02080713    -0.02080713    -7.012682e-17   2.874707e-18    -2.596621e-17    1.03083e-17   
53  0.235758        28.80305        0.6555624      0.6555619       -0.0208558    -0.02085585     -3.54959e-17   3.083803e-18     4.688658e-16   1.031283e-17   
54  0.234545        28.95191        0.6524543      0.6524539      -0.02090419    -0.02090428     6.909938e-17   3.293938e-18     1.633883e-16   1.023399e-17   
55  0.233333        29.10231        0.6493067      0.6493063      -0.02095228    -0.02095242     1.256444e-17   3.505091e-18     -1.61057e-16   1.006896e-17   
56  0.232121        29.25428         0.646119      0.6461186      -0.02100005    -0.02100023     2.073808e-17    3.71727e-18     3.323243e-17   9.815387e-18   
57  0.230909        29.40784        0.6428904      0.6428902      -0.02104748    -0.02104771     2.268536e-17   3.930519e-18    -3.496726e-17   9.471418e-18   
58  0.229697        29.56303        0.6396205      0.6396203      -0.02109456    -0.02109483     9.864638e-18    4.14492e-18     1.093635e-16   9.035756e-18   
59  0.228485        29.71986        0.6363085      0.6363084      -0.02114127    -0.02114157     5.712501e-17   4.360597e-18    -6.665729e-17   8.507729e-18   
60  0.227273        29.87837        0.6329538      0.6329538      -0.02118757    -0.02118791    -1.177062e-17   4.577722e-18    -7.918013e-18    7.88736e-18   
