beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.300000        22.63513        0.8553956       0.855395      -0.01212102    -0.01210404     3.132549e-17  -1.535631e-18      -5.7868e-16   -9.64155e-17   
1  0.298788        22.72695        0.8542826      0.8542821      -0.01214026    -0.01214234    -2.181243e-17  -1.676101e-18    -6.448724e-17  -8.964762e-17   
2  0.297576        22.81953        0.8531569      0.8531565      -0.01217885    -0.01218083     1.981868e-17  -1.802972e-18    -1.800978e-16  -8.309734e-17   
3  0.296364        22.91286        0.8520184      0.8520182      -0.01221762     -0.0122195    -5.577053e-17  -1.916569e-18    -1.599942e-16  -7.676455e-17   
4  0.295152        23.00696        0.8508669      0.8508668      -0.01225659    -0.01225837    -9.670727e-18  -2.017231e-18     1.580028e-16  -7.064903e-17   
5  0.293939        23.10183        0.8497023      0.8497021      -0.01229574    -0.01229743       -2.617e-17  -2.105309e-18     4.364109e-17  -6.475048e-17   
6  0.292727        23.19749        0.8485242      0.8485241      -0.01233509    -0.01233668    -1.184696e-18  -2.181169e-18     2.121156e-16  -5.906849e-17   
7  0.291515        23.29394        0.8473325      0.8473325      -0.01237463    -0.01237613     1.454156e-17  -2.245188e-18    -3.632592e-17  -5.360257e-17   
8  0.290303        23.39121         0.846127       0.846127      -0.01241436    -0.01241576    -8.382194e-18  -2.297758e-18    -1.224724e-16   -4.83521e-17   
9  0.289091        23.48928        0.8449075      0.8449076      -0.01245427    -0.01245559    -9.289506e-18  -2.339285e-18    -7.216197e-17  -4.331639e-17   
10  0.287879        23.58818        0.8436737      0.8436739      -0.01249439    -0.01249561    -2.264851e-17  -2.370188e-18     2.644659e-16  -3.849461e-17   
11  0.286667        23.68792        0.8424256      0.8424257      -0.01253469    -0.01253582      4.35784e-17    -2.3909e-18     3.339729e-16  -3.388582e-17   
12  0.285455        23.78851        0.8411627      0.8411629      -0.01257518    -0.01257623     4.397481e-17  -2.401868e-18    -2.292715e-16  -2.948898e-17   
13  0.284242        23.88995         0.839885      0.8398852      -0.01261587    -0.01261683    -2.941192e-18  -2.403552e-18    -2.199911e-16  -2.530292e-17   
14  0.283030        23.99226        0.8385922      0.8385924      -0.01265675    -0.01265762    -6.389759e-19  -2.396429e-18    -1.093515e-16  -2.132634e-17   
15  0.281818        24.09546         0.837284      0.8372842      -0.01269782    -0.01269861    -2.552951e-17  -2.380985e-18     2.292114e-16  -1.755782e-17   
16  0.280606        24.19954        0.8359602      0.8359604      -0.01273909    -0.01273979     4.729056e-17  -2.357724e-18     5.570492e-17   -1.39958e-17   
17  0.279394        24.30453        0.8346206      0.8346208      -0.01278054    -0.01278117    -1.446475e-17  -2.327163e-18    -2.926136e-16  -1.063859e-17   
18  0.278182        24.41043        0.8332649      0.8332651      -0.01282219    -0.01282273    -1.414805e-17  -2.289832e-18     1.121969e-16  -7.484346e-18   
19  0.276970        24.51726        0.8318929      0.8318931      -0.01286403     -0.0128645      9.50425e-18  -2.246274e-18     2.255043e-16  -4.531098e-18   
20  0.275758        24.62503        0.8305043      0.8305045      -0.01290606    -0.01290645      3.42484e-17  -2.197046e-18    -1.975011e-17  -1.776717e-18   
21  0.274545        24.73375        0.8290988       0.829099      -0.01294829     -0.0129486     4.991303e-18   -2.14272e-18    -3.319018e-16   7.810811e-19   
22  0.273333        24.84343        0.8276763      0.8276765       -0.0129907    -0.01299094    -3.830077e-17  -2.083877e-18    -2.475975e-17   3.144734e-18   
23  0.272121        24.95409        0.8262364      0.8262365       -0.0130333    -0.01303347    -1.029082e-19  -2.021114e-18    -7.027158e-17   5.316842e-18   
24  0.270909        25.06574        0.8247788       0.824779       -0.0130761     -0.0130762    -5.433443e-17  -1.955039e-18    -1.275959e-16   7.300172e-18   
25  0.269697         25.1784        0.8233033      0.8233034      -0.01311908    -0.01311912    -2.836408e-17   -1.88627e-18     2.172865e-16   9.097662e-18   
26  0.268485        25.29207        0.8218096      0.8218097      -0.01316225    -0.01316223    -5.170047e-18   -1.81544e-18     1.521219e-16   1.071242e-17   
27  0.267273        25.40677        0.8202973      0.8202974      -0.01320561    -0.01320553     6.323311e-18  -1.743188e-18    -4.069219e-18   1.214774e-17   
28  0.266061        25.52252        0.8187663      0.8187664      -0.01324916    -0.01324901    -6.216781e-18  -1.670166e-18    -9.830845e-17    1.34071e-17   
29  0.264848        25.63933        0.8172161      0.8172162      -0.01329289    -0.01329269    -1.652831e-17  -1.597035e-18     1.740452e-17   1.449415e-17   
30  0.263636        25.75721        0.8156466      0.8156466      -0.01333681    -0.01333656    -2.018604e-18  -1.524462e-18     1.005073e-16   1.541275e-17   
31  0.262424        25.87618        0.8140573      0.8140572      -0.01338091    -0.01338061     7.252548e-18  -1.453124e-18     5.263978e-17   1.616695e-17   
32  0.261212        25.99626        0.8124479      0.8124478      -0.01342519    -0.01342485     1.053681e-17  -1.383703e-18      3.95044e-17   1.676098e-17   
33  0.260000        26.11745        0.8108181      0.8108181      -0.01346966    -0.01346928     1.679737e-17  -1.316886e-18    -3.197361e-17   1.719931e-17   
