beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.350000        19.40154        0.7326325      0.7326406       -0.0250051    -0.02499085       3.5533e-17   6.020955e-18     3.415427e-16  -1.201617e-16   
1  0.349192        19.44643        0.7315098       0.731518      -0.02502264    -0.02502573     5.086758e-17   4.122796e-18    -5.117579e-16  -1.114165e-16   
2  0.348384        19.49154        0.7303803      0.7303886      -0.02505774    -0.02506063     -1.07051e-17   2.350473e-18    -8.975543e-16  -1.029686e-16   
3  0.347576        19.53686         0.729244      0.7292523      -0.02509286    -0.02509557    -3.019325e-17   7.008374e-19     1.420127e-16   -9.48164e-17   
4  0.346768        19.58238        0.7281008      0.7281092      -0.02512799    -0.02513052     2.316603e-18  -8.292953e-19     1.325992e-16  -8.695826e-17   
5  0.345960        19.62812        0.7269506       0.726959      -0.02516314     -0.0251655    -1.821498e-17  -2.243139e-18     1.148536e-16  -7.939241e-17   
6  0.345152        19.67408        0.7257935      0.7258019      -0.02519831     -0.0252005     1.296872e-17  -3.543938e-18        4.185e-16  -7.211699e-17   
7  0.344343        19.72025        0.7246293      0.7246378      -0.02523349    -0.02523553     2.028274e-17  -4.734966e-18    -3.800029e-16  -6.513004e-17   
8  0.343535        19.76663         0.723458      0.7234665      -0.02526868    -0.02527057    -2.232003e-17  -5.819526e-18    -4.923919e-16   -5.84295e-17   
9  0.342727        19.81324        0.7222795      0.7222881      -0.02530389    -0.02530563    -2.541288e-17  -6.800946e-18    -2.231077e-16  -5.201321e-17   
10  0.341919        19.86007        0.7210938      0.7211024       -0.0253391    -0.02534071    -4.319988e-17  -7.682581e-18     4.845978e-16  -4.587892e-17   
11  0.341111        19.90711        0.7199008      0.7199095      -0.02537433    -0.02537581     2.026994e-17   -8.46781e-18    -3.844429e-16  -4.002424e-17   
12  0.340303        19.95439        0.7187005      0.7187092      -0.02540956    -0.02541092    -7.984752e-17  -9.160034e-18    -4.959721e-16   -3.44467e-17   
13  0.339495        20.00188        0.7174928      0.7175016      -0.02544481    -0.02544604    -2.636714e-17  -9.762676e-18     1.014618e-15   -2.91437e-17   
14  0.338687         20.0496        0.7162776      0.7162865      -0.02548005    -0.02548118      1.67384e-17  -1.027918e-17     1.143922e-16  -2.411253e-17   
15  0.337879        20.09756         0.715055      0.7150639      -0.02551531    -0.02551632    -1.560283e-17    -1.0713e-17    -2.564679e-16  -1.935036e-17   
16  0.337071        20.14574        0.7138248      0.7138337      -0.02555056    -0.02555148    -7.820361e-18  -1.106762e-17    -6.968638e-16  -1.485424e-17   
17  0.336263        20.19415         0.712587      0.7125959      -0.02558582    -0.02558665    -8.311436e-17  -1.134652e-17    -7.213649e-16  -1.062108e-17   
18  0.335455         20.2428        0.7113415      0.7113505      -0.02562108    -0.02562182    -7.764057e-17  -1.155322e-17     1.167633e-15  -6.647692e-18   
19  0.334646        20.29168        0.7100882      0.7100973      -0.02565634    -0.02565699     3.100906e-17  -1.169121e-17     5.607643e-16  -2.930734e-18   
20  0.333838        20.34079        0.7088272      0.7088363      -0.02569159    -0.02569217    -2.307985e-17  -1.176403e-17    -4.209022e-16   5.332597e-19   
21  0.333030        20.39015        0.7075583      0.7075674      -0.02572684    -0.02572736    -1.027645e-17  -1.177519e-17     6.744283e-16   3.747897e-18   
22  0.332222        20.43975        0.7062815      0.7062907      -0.02576209    -0.02576254     4.375573e-17  -1.172823e-17     -5.96296e-17   6.716923e-18   
23  0.331414        20.48958        0.7049967      0.7050059      -0.02579733    -0.02579772    -1.648357e-17  -1.162667e-17    -2.111251e-16   9.444228e-18   
24  0.330606        20.53967        0.7037038      0.7037131      -0.02583256     -0.0258329      2.29033e-17  -1.147404e-17     4.789937e-16   1.193385e-17   
25  0.329798        20.58999        0.7024028      0.7024122      -0.02586778    -0.02586807     3.153596e-17  -1.127385e-17    -5.588834e-16   1.418998e-17   
26  0.328990        20.64057        0.7010937      0.7011031      -0.02590299    -0.02590324     -3.36692e-17  -1.102963e-17    -5.060313e-16   1.621695e-17   
27  0.328182        20.69139        0.6997763      0.6997858      -0.02593819     -0.0259384    -1.957918e-17  -1.074486e-17     1.025839e-15   1.801927e-17   
28  0.327374        20.74246        0.6984507      0.6984602      -0.02597337    -0.02597355     7.104879e-17  -1.042304e-17     6.470857e-16   1.960161e-17   
29  0.326566        20.79379        0.6971166      0.6971262      -0.02600853    -0.02600869     4.639805e-17  -1.006763e-17    -3.833725e-16   2.096878e-17   
30  0.325758        20.84537        0.6957742      0.6957838      -0.02604368    -0.02604381     3.162123e-17  -9.682076e-18    -2.822966e-16   2.212579e-17   
31  0.324949        20.89721        0.6944232      0.6944329      -0.02607881    -0.02607892     1.720414e-17  -9.269795e-18     -2.41685e-16   2.307782e-17   
32  0.324141        20.94931        0.6930637      0.6930734      -0.02611391    -0.02611402     6.511232e-18  -8.834177e-18     4.869107e-17    2.38302e-17   
33  0.323333        21.00166        0.6916955      0.6917053        -0.026149    -0.02614909     2.235621e-17  -8.378575e-18    -7.685954e-16   2.438848e-17   
34  0.322525        21.05428        0.6903187      0.6903285      -0.02618405    -0.02618414    -7.445401e-17  -7.906306e-18    -8.033758e-16   2.475838e-17   
35  0.321717        21.10717         0.688933      0.6889429      -0.02621908    -0.02621917    -6.212827e-17  -7.420642e-18     3.821231e-16    2.49458e-17   
36  0.320909        21.16032        0.6875386      0.6875485      -0.02625408    -0.02625417    -3.389646e-17  -6.924808e-18     5.337606e-16   2.495684e-17   
37  0.320101        21.21373        0.6861352      0.6861452      -0.02628905    -0.02628915    -5.245663e-18  -6.421975e-18     2.551985e-16   2.479783e-17   
38  0.319293        21.26742        0.6847228      0.6847329      -0.02632398     -0.0263241     -6.63895e-18  -5.915258e-18    -4.899256e-17   2.447526e-17   
39  0.318485        21.32138        0.6833014      0.6833115      -0.02635888    -0.02635901    -1.052598e-17  -5.407706e-18    -1.595459e-16   2.399586e-17   
40  0.317677        21.37562        0.6818709       0.681881      -0.02639375    -0.02639389    -2.392532e-17    -4.9023e-18     1.813889e-16   2.336656e-17   
41  0.316869        21.43013        0.6804311      0.6804414      -0.02642857    -0.02642874     9.318204e-18  -4.401946e-18     4.396572e-16   2.259452e-17   
42  0.316061        21.48492        0.6789821      0.6789924      -0.02646335    -0.02646354     2.408322e-17  -3.909468e-18    -4.619486e-16   2.168712e-17   
43  0.315253           21.54        0.6775238      0.6775341      -0.02649809     -0.0264983    -4.163826e-17  -3.427601e-18    -3.334993e-16   2.065197e-17   
44  0.314444        21.59535         0.676056      0.6760664      -0.02653278    -0.02653302    -1.250067e-17  -2.958988e-18    -2.644161e-16   1.949692e-17   
