beta_index beta  cappa  1T  Tfit  1TP  TPfit  1S  Sfit  1SP    SPfit  
0  0.650000        10.44698        0.6709005      0.6708034      -0.05700505    -0.05694339    -2.960402e-18   1.080966e-17     6.370245e-16   3.712061e-17   
1  0.646162        10.50904        0.6673629      0.6672803      -0.05710442    -0.05713835     3.657209e-17   9.398475e-18     8.447952e-17   3.510061e-17   
2  0.642323        10.57184        0.6637705      0.6637015      -0.05730319    -0.05733354     7.177704e-18   8.029256e-18    -1.030543e-15   3.311831e-17   
3  0.638485        10.63539        0.6601223      0.6600662      -0.05750201     -0.0575289    -9.406635e-17   6.702606e-18     1.836642e-16   3.117448e-17   
4  0.634646        10.69972        0.6564172      0.6563731      -0.05770082    -0.05772439     3.203024e-17   5.419116e-18     7.824199e-16   2.926987e-17   
5  0.630808        10.76482         0.652654      0.6526212      -0.05789959    -0.05791996     6.280117e-18   4.179367e-18     7.504043e-17   2.740525e-17   
6  0.626970        10.83073        0.6488317      0.6488094      -0.05809825    -0.05811556     4.223639e-17    2.98393e-18     4.975533e-17   2.558139e-17   
7  0.623131        10.89744         0.644949      0.6449364      -0.05829674    -0.05831113     1.247605e-17   1.833366e-18     -8.47616e-16   2.379906e-17   
8  0.619293        10.96499        0.6410048      0.6410012      -0.05849502    -0.05850661    -7.189484e-17   7.282186e-19     5.636089e-17   2.205903e-17   
9  0.615455        11.03337        0.6369978      0.6370024      -0.05869301    -0.05870195      2.12369e-17  -3.309796e-19     9.191307e-16   2.036205e-17   
10  0.611616        11.10261        0.6329269       0.632939      -0.05889065    -0.05889707     5.422346e-17  -1.343715e-18    -5.377575e-17   1.870889e-17   
11  0.607778        11.17273        0.6287907      0.6288095      -0.05908787    -0.05909191     1.327897e-17  -2.309491e-18    -1.549833e-16   1.710031e-17   
12  0.603939        11.24374        0.6245879      0.6246127       -0.0592846     -0.0592864     3.273344e-17  -3.227832e-18    -7.429392e-17   1.553706e-17   
13  0.600101        11.31566        0.6203172      0.6203474      -0.05948076    -0.05948046      2.34403e-18  -4.098283e-18    -3.818976e-16   1.401989e-17   
14  0.596263         11.3885        0.6159773      0.6160121      -0.05967628    -0.05967402     -2.25128e-17  -4.920414e-18    -3.563801e-16   1.254953e-17   
15  0.592424        11.46229        0.6115668      0.6116055      -0.05987106    -0.05986698    -4.992659e-17   -5.69382e-18     2.300505e-17   1.112673e-17   
16  0.588586        11.53704        0.6070842      0.6071262      -0.06006504    -0.06005927      -1.8716e-17  -6.418126e-18     2.487284e-16   9.752183e-18   
17  0.584747        11.61277         0.602528      0.6025727       -0.0602581     -0.0602508    -1.266337e-17  -7.092985e-18     2.356857e-16   8.426613e-18   
18  0.580909         11.6895        0.5978969      0.5979436      -0.06045017    -0.06044146     1.737324e-17  -7.718085e-18     6.000395e-17   7.150706e-18   
19  0.577071        11.76725        0.5931893      0.5932375      -0.06064113    -0.06063115    -3.732009e-18   -8.29315e-18    -2.969081e-16   5.925138e-18   
20  0.573232        11.84605        0.5884037      0.5884527      -0.06083088    -0.06081978    -2.913324e-17   -8.81794e-18     2.553846e-16   4.750568e-18   
21  0.569394         11.9259        0.5835384      0.5835877      -0.06101931    -0.06100723     3.739859e-17  -9.292259e-18     1.626736e-16   3.627631e-18   
22  0.565556        12.00684        0.5785919       0.578641      -0.06120631    -0.06119339    -3.702648e-18  -9.715954e-18    -3.203962e-16   2.556941e-18   
23  0.561717        12.08889        0.5735625      0.5736109      -0.06139175    -0.06137812    -1.461441e-17  -1.008892e-17    -2.090863e-16   1.539086e-18   
24  0.557879        12.17207        0.5684485      0.5684957      -0.06157551    -0.06156131    -3.833418e-17   -1.04111e-17     -1.08531e-16   5.746252e-19   
25  0.554040        12.25639        0.5632483      0.5632937      -0.06175746    -0.06174282    -3.259014e-17   -1.06825e-17     2.433447e-17  -3.359119e-19   
26  0.550202         12.3419          0.55796      0.5580034      -0.06193745    -0.06192251    -3.425292e-17  -1.090318e-17     1.797203e-16  -1.192031e-18   
27  0.546364        12.42861        0.5525819      0.5526228      -0.06211534    -0.06210023    -1.401168e-18  -1.107325e-17     3.127837e-16  -1.993276e-18   
28  0.542525        12.51654        0.5471121      0.5471501      -0.06229098    -0.06227583     2.029011e-17   -1.11929e-17    -1.548386e-17  -2.739229e-18   
29  0.538687        12.60572        0.5415489      0.5415837       -0.0624642    -0.06244914    -4.472172e-18   -1.12624e-17     1.777687e-16   -3.42952e-18   
30  0.534848        12.69619        0.5358902      0.5359215      -0.06263485       -0.06262     5.280957e-17  -1.128207e-17    -2.800926e-16  -4.063824e-18   
31  0.531010        12.78796        0.5301342      0.5301617      -0.06280274    -0.06278822    -5.671066e-17  -1.125232e-17    -5.013575e-16  -4.641872e-18   
32  0.527172        12.88107        0.5242789      0.5243023      -0.06296769    -0.06295362    -3.895867e-17  -1.117365e-17     2.694274e-16  -5.163448e-18   
33  0.523333        12.97555        0.5183222      0.5183414       -0.0631295    -0.06311601    -6.062154e-18  -1.104665e-17     2.818725e-16  -5.628401e-18   
34  0.519495        13.07142        0.5122622      0.5122769      -0.06328798    -0.06327517      1.46027e-17  -1.087199e-17     3.287177e-17  -6.036644e-18   
35  0.515657        13.16872        0.5060966      0.5061068      -0.06344292    -0.06343088     2.701552e-20  -1.065046e-17     1.009433e-16  -6.388162e-18   
36  0.511818        13.26748        0.4998235      0.4998291      -0.06359408    -0.06358294     3.475942e-17  -1.038294e-17    -1.090339e-16  -6.683017e-18   
37  0.507980        13.36773        0.4934407      0.4934415      -0.06374125    -0.06373108    -2.235947e-17  -1.007043e-17    -1.788489e-16  -6.921353e-18   
38  0.504141        13.46951        0.4869458      0.4869419      -0.06388417    -0.06387508    -7.765646e-19  -9.714033e-18     6.712127e-17  -7.103404e-18   
39  0.500303        13.57285        0.4803368      0.4803282      -0.06402259    -0.06401466    -8.818067e-18  -9.314996e-18     -1.63001e-16  -7.229498e-18   
40  0.496465        13.67779        0.4736113       0.473598      -0.06415625    -0.06414956    -3.486208e-17  -8.874683e-18     1.485015e-16  -7.300065e-18   
41  0.492626        13.78436        0.4667669      0.4667492      -0.06428486    -0.06427948     2.324026e-17  -8.394597e-18     1.378073e-16  -7.315643e-18   
42  0.488788        13.89261        0.4598015      0.4597794      -0.06440813    -0.06440413    -5.940255e-18  -7.876381e-18    -1.932791e-16  -7.276888e-18   
43  0.484949        14.00257        0.4527125      0.4526862      -0.06452576    -0.06452319    -1.880384e-17   -7.32183e-18     -5.56406e-18  -7.184577e-18   
44  0.481111        14.11428        0.4454977      0.4454673      -0.06463742    -0.06463633    -6.978175e-18  -6.732893e-18     9.837073e-17  -7.039621e-18   
45  0.477273        14.22779        0.4381544      0.4381203      -0.06474278     -0.0647432     3.338402e-18  -6.111681e-18    -1.137741e-16  -6.843071e-18   
46  0.473434        14.34315        0.4306803      0.4306428      -0.06484148    -0.06484345    -3.339366e-17  -5.460474e-18    -2.246521e-16  -6.596128e-18   
47  0.469596        14.46038        0.4230728      0.4230322      -0.06493316     -0.0649367    -4.873664e-17  -4.781727e-18      4.02746e-18  -6.300149e-18   
48  0.465758        14.57955        0.4153294      0.4152861      -0.06501742    -0.06502253    -3.218087e-17  -4.078077e-18     1.316758e-16  -5.956663e-18   
49  0.461919        14.70071        0.4074477       0.407402      -0.06509387    -0.06510055    -1.710651e-17  -3.352348e-18     1.647932e-16  -5.567373e-18   
50  0.458081        14.82389        0.3994248      0.3993773      -0.06516207    -0.06517031     8.165353e-18  -2.607555e-18     3.589517e-17  -5.134172e-18   
51  0.454242        14.94915        0.3912584      0.3912095      -0.06522158    -0.06523135    -8.540931e-18  -1.846915e-18     9.949181e-17  -4.659153e-18   
52  0.450404        15.07655        0.3829458       0.382896      -0.06527194    -0.06528319     3.380021e-17  -1.073845e-18    -1.651307e-16  -4.144616e-18   
53  0.446566        15.20614        0.3744844      0.3744342      -0.06531266    -0.06532533    -5.206672e-17  -2.919695e-19    -5.053387e-17  -3.593083e-18   
54  0.442727        15.33797        0.3658716      0.3658215      -0.06534322    -0.06535725     2.196485e-17   4.948771e-19     3.551787e-17  -3.007308e-18   
55  0.438889        15.47211        0.3571047      0.3570554      -0.06536309    -0.06537838    -4.383283e-17   1.282649e-18    -1.339262e-16   -2.39029e-18   
56  0.435051        15.60862        0.3481811      0.3481331      -0.06537171    -0.06538817    -1.343812e-17    2.06709e-18    -2.925444e-17  -1.745281e-18   
57  0.431212        15.74756        0.3390982      0.3390522      -0.06536849    -0.06538599    -5.250306e-17    2.84373e-18    -7.038373e-17    -1.0758e-18   
58  0.427374        15.88899        0.3298536        0.32981      -0.06535281    -0.06537123    -3.264571e-17   3.607894e-18     1.973043e-16  -3.856453e-19   
59  0.423535        16.03299        0.3204445       0.320404      -0.06532403     -0.0653432     3.959694e-18   4.354705e-18     1.941062e-16   3.210963e-19   
60  0.419697        16.17962        0.3108686      0.3108318      -0.06528147    -0.06530123     2.360887e-17   5.079091e-18    -9.458388e-17   1.040038e-18   
61  0.415859        16.32896        0.3011233      0.3010907      -0.06522443    -0.06524459    -2.465301e-17   5.775798e-18     1.615082e-16   1.766481e-18   
62  0.412020        16.48108        0.2912062      0.2911783      -0.06515216    -0.06517252     7.364557e-17   6.439405e-18     3.949172e-16    2.49541e-18   
63  0.408182        16.63606         0.281115      0.2810924      -0.06506389    -0.06508422     9.590815e-17   7.064342e-18      -6.9434e-17   3.221477e-18   
64  0.404343        16.79399        0.2708474      0.2708306       -0.0649588    -0.06497886     5.129229e-17    7.64492e-18    -3.100542e-16   3.939002e-18   
65  0.400505        16.95494        0.2604014      0.2603906      -0.06483606    -0.06485558    -3.043843e-18   8.175355e-18    -5.808636e-17   4.641964e-18   
66  0.396667          17.119        0.2497748      0.2497705      -0.06469475    -0.06471348     3.328386e-17   8.649809e-18     3.895025e-17   5.323995e-18   
67  0.392828        17.28628        0.2389658      0.2389682      -0.06453397     -0.0645516     9.276828e-18    9.06244e-18    -8.301589e-18   5.978386e-18   
